key,refID,title,authors,year,month,day,doi,correction_doi,language,journal,abstract,notes,keywords,pubmed_id,SiC_Type,Application,review_article,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,Biosensor,GlucoseSensor,Cardiovascular,Bone,DrugRelease,Electroporation,GeneralImplants,RadiationDetection,TissueEng,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,BenchtopData,BiocompatibilityData,ExVivoData
rayyan-66582537,"Ababneh, M 2017",Design of a SiC implantable rectenna for wireless in-vivo biomedical devices,"Ababneh, M. M. and Jasim, M. and Puttananjegowda, K. and Perez, S. and Afroz, S. and Thomas, S. and Tan, Y. K.",2017,10,19,10.1109/UEMCON.2017.8249040,,eng,"2017 IEEE 8th Annual Ubiquitous Computing, Electronics and Mobile Communication Conference (UEMCON)","Radio frequency energy harvesting methods for wireless applications have been widely investigated, however limited number of these methods have been capable of generating sufficient energy levels, in which can be leveraged as feasible sources for implantable medical devices, in particular implantable rectenna. Such rectennas can provide unlimited energy for the lifespan of implanted devices. This paper presents a fabricated rectenna using the biocompatible material Silicon Carbide (SiC) and a rectifier system including matching network of 47.7% power efficiency. The developed SiC rectenna is intended for wireless biomedical power transmission. This proposed SiC rectenna has the potential to extend the battery life of implantable medical devices.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: General SiC,Implanted Electronics",Rectennas;Silicon carbide;Radio frequency;Wireless communication;Rectifiers;Energy harvesting;Silicon Carbide;implantable medical devices (IMD's);rectenna;rectifier;power transmission;biocompatible;RF Energy,,4H-SiC,Implants_General,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,,eng,Biomaterials,"Chronic implantation of intracortical microelectrode arrays (MEAs) capable of recording from individual neurons can be used for the development of brain-machine interfaces. However, these devices show reduced recording capabilities under chronic conditions due, at least in part, to the brain's foreign body response (FBR). This creates a need for MEAs that can minimize the FBR to possibly enable long-term recording. A potential approach to reduce the FBR is the use of MEAs with reduced cross-sectional geometries. Here, we fabricated 4-shank amorphous silicon carbide (a-SiC) MEAs and implanted them into the motor cortex of seven female Sprague-Dawley rats. Each a-SiC MEA shank was 8Â Î¼m thick by 20Â Î¼m wide and had sixteen sputtered iridium oxide film (SIROF) electrodes (4 per shank). A-SiC was chosen as the fabrication base for its high chemical stability, good electrical insulation properties, and amenability to thin film fabrication. Electrochemical analysis and neural recordings were performed weekly for 4 months. MEAs were characterized pre-implantation in buffered saline and in vivo using electrochemical impedance spectroscopy and cyclic voltammetry at 50Â mV/s and 50,000Â mV/s. Neural recordings were analyzed for single unit activity. At the end of the study, animals were sacrificed for immunohistochemical analysis. We observed statistically significant, but small, increases in 1 and 30Â kHz impedance values and 50,000Â mV/s charge storage capacity over the 16-week implantation period. Slow sweep 50Â mV/s CV and 1Â Hz impedance did not significantly change over time. Impedance values increased from 11.6Â MÎ© to 13.5Â MÎ©Â at 1Â Hz, 1.2Â MÎ©-2.9Â MÎ©Â at 1Â kHz, and 0.11Â MÎ©-0.13Â MÎ©Â at 30Â kHz over 16 weeks. The median charge storage capacity of the implanted electrodes at 50Â mV/s was 58.1Â mC/cm(2) on week 1 and 55.9Â mC/cm(2) on week 16, and at 50,000Â mV/s, 4.27Â mC/cm(2) on week 1 and 5.93Â mC/cm(2) on week 16. Devices were able to record neural activity from 92% of all active channels at the beginning of the study, At the study endpoint, a-SiC devices were still recording single-unit activity on 51% of electrochemically active electrode channels. In addition, we observed that the signal-to-noise ratio experienced a small decline of -0.19 per week. We also classified observed units as fast and slow repolarizing based on the trough-to-peak time. Although the overall presence of single units declined, fast and slow repolarizing units declined at a similar rate. At recording electrode depth, immunohistochemistry showed minimal tissue response to the a-SiC devices, as indicated by statistically insignificant differences in activated glial cell response between implanted brains slices and contralateral sham slices at 150Â Î¼m away from the implant location, as evidenced by GFAP staining. NeuN staining revealed the presence of neuronal cell bodies close to the implantation site, again statistically not different from a contralateral sham slice. These results warrant further investigation of a-SiC MEAs for future long-term implantation neural recording studies.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Benchtop/Soak Testing",Siliconcarbide; Polyimide; Microelectrode; Immunohistochemistry; SIROF,38547834,amorphous,Neural_Engineering,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
rayyan-66582655,"Afonso Camargo, S 2020",Anti-Bacterial Properties and Biocompatibility of Novel SiC Coating for Dental Ceramic.,"Afonso Camargo, SE and Mohiuddeen, AS and Fares, C and Partain, JL and Carey, PH 4th and Ren, F and Hsu, SM and Clark, AE and Esquivel-Upshaw, JF",2020,11,1,10.3390/jfb11020033,,eng,Journal of functional biomaterials,"A 200 nm plasma-enhanced chemical vapor-deposited SiC was used as a coating on dental ceramics to improve anti-bacterial properties for the applications of dental prosthesis. A thin SiO(2) (20 nm) in the same system was deposited first, prior to SiC deposition, to improve the adhesion between SiC to dental ceramic. Silane and methane were the precursors for SiC deposition, and the SiO(2) deposition employed silane and nitrous oxide as the precursors. SiC antimicrobial activity was evaluated on the proliferation of biofilm, Streptococcus sanguinis, and Streptococcus mutans on SiC-coated and uncoated dental ceramics for 24 h. The ceramic coating with SiC exhibited a biofilm coverage of 16.9%, whereas uncoated samples demonstrated a significantly higher biofilm coverage of 91.8%, measured with fluorescence and scanning electron microscopic images. The cytotoxicity of the SiC coating was evaluated using human periodontal ligament fibroblasts (HPdLF) by CellTiter-BlueCell viability assay. After 24 h of HPdLF cultivation, no obvious cytotoxicity was observed on the SiC coating and control group; both sets of samples exhibited similar cell adhesion and proliferation. SiC coating on a ceramic demonstrated antimicrobial activity without inducing cytotoxic effects.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Dental,General SiC,Biocompatibility, Cell Culture","antimicrobial, ceramic, coating, silicon carbide, cytotoxicity",32443691,other,Implants_General,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
rayyan-66582427,"Afroz, S 2013",Implantable SiC based RF antenna biosensor for continuous glucose monitoring,"Afroz, S. and Thomas, S. W. and Mumcu, G. and Saddow, S. E.",2013,11,3,10.1109/ICSENS.2013.6688379,,eng,"SENSORS, 2013 IEEE","A continuous glucose sensor employing radio frequency (RF) signals has been developed using the biocompatible material Silicon Carbide (SiC). Unlike biosensors that require direct contact with interstitial fluids to trigger chemical reactions to operate, this biocompatible SiC sensor doesn't require a direct interface. The sensing mechanism is based upon a shift in resonant frequency as a function of change in glucose levels which electrically manifests itself as a change in blood permittivity and conductivity. For invivo applications the antenna sensor needs to operate inside the body environment, and it has been determined that the best operational location of this biocompatible SiC biosensor is within fatty tissue in close proximity to blood vessels. To test the sensor as a function of glucose level, measurements using synthetic body fluid (SBF), which is electrically equivalent to blood plasma, and pig blood were performed. Changes in sensor performance to varying glucose levels were measured and a shift in resonant frequency to lower values observed with increasing glucose level. In-vitro sensor performance demonstrated that the sensor showed a dose dependent response to glucose concentration from 120 mg/dl to 530 mg/dl. A shift of 40 MHz and 26 MHz for blood mimicking liquid and pig blood was observed corresponding to 97 KHz and 67 KHz shift per 1 mg/dl change in blood glucose.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Glucose Monitor,Polycrystalline SiC,Benchtop/Soak Testing",Sugar;Blood;Liquids;Resonant frequency;Antennas;Monitoring;Silicon carbide,,4H-SiC,Biosensors,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
rayyan-66583413,"Ahn, S 2019",Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,"Ahn, SH and Jeong, J and Kim, SJ",2019,7,31,10.3390/mi10080508,,eng,MICROMACHINES,"The development of reliable long-term encapsulation technologies for implantable biomedical devices is of paramount importance for the safe and stable operation of implants in the body over a period of several decades. Conventional technologies based on titanium or ceramic packaging, however, are not suitable for encapsulating microfabricated devices due to their limited scalability, incompatibility with microfabrication processes, and difficulties with miniaturization. A variety of emerging materials have been proposed for encapsulation of microfabricated implants, including thin-film inorganic coatings of Al2O3, HfO2, SiO2, SiC, and diamond, as well as organic polymers of polyimide, parylene, liquid crystal polymer, silicone elastomer, SU-8, and cyclic olefin copolymer. While none of these materials have yet been proven to be as hermetic as conventional metal packages nor widely used in regulatory approved devices for chronic implantation, a number of studies have demonstrated promising outcomes on their long-term encapsulation performance through a multitude of fabrication and testing methodologies. The present review article aims to provide a comprehensive, up-to-date overview of the long-term encapsulation performance of these emerging materials with a specific focus on publications that have quantitatively estimated the lifetime of encapsulation technologies in aqueous environments.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Review,Neural Eng,General SiC,Implanted Electronics",,,other,Neural_Engineering,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66582592,"Alfotawi, R 2023",In Vivo Analysis of Porous Bioactive Silicon Carbide Scaffold for Craniofacial Bone Augmentation.,"Alfotawi, R and Premnath, S and El-Ghannam, A and Alsafadi, M and Mahmood, A",2023,11,28,10.1097/SCS.0000000000009864,,eng,The Journal of craniofacial surgery,"BACKGROUND: Bone augmentation is a vital area of research because of its high clinical demand and the reported complications associated with the available biomaterials. Purpose: The study assess the role of decellurized skeletal muscle (DSM) when combined with synthesized porous bioactive silicon carbide (SiC) ceramic and evaluated its ability to augment bone calvaria in a rat model. MATERIAL AND METHODS: Eighteen rats were divided into 2 groups; group 1 (n=9), SiC discs (10 Ã— 0.2Â mm) pre-treated with 20% NaOH were placed as an onlay grafts on calvarial bone. Meanwhile, in group 2 (n=9), SiC discs pre-treated with 20% NaOH (10 Ã— 0.2 mm) were covered with DSM. After 12 weeks, the grafted tissues were harvested and examined using cone-beam computed tomography, mechanical testing, and histologic analysis. RESULTS: Cone-beam computed tomography for group 2 showed more radio-opacity for the remnant of SiC compared with native bone. The surface area and volume of radio-opacity were 2.48 mm2 Â± 1.6 and 14.9 Â± 7.8 mm3, respectively. The estimated quantitative average surface area of the radio-opacity for group 1 and volume were 2.55 mm2 Â± (Sd=3.7) and 11.25 Â± (Sd=8.9), respectively. Mechanically, comparable values of the flexural strength and statistically significant higher modulus of elasticity of calvaria in group 1 compared with group 2 and control (P<0.001). Histologically, group 2 region of woven bone was seen close to the lamellar bone (native bone), and there was immature bone present near the implanted SiC. CONCLUSION: The tested construct made of SiC/DSM has potential to osteointegrate into native bone, making it a suitable material for bone augmentation.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Dental,General SiC",,38014939,other,Bone,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66582834,"Allen, M 1995","Toxicity of particulate silicon carbide for macrophages, fibroblasts and osteoblast-like cells in vitro.","Allen, M and Butter, R and Chandra, L and Lettington, A and Rushton, N",1995,8,1,10.3233/BME-1995-5302,,eng,Bio-medical materials and engineering,"There is widespread interest in the use of interfacial layers in the preparation of diamond and diamond-like carbon (DLC) coatings. These DLC coatings deposited onto metal substrates with a silicon carbide (SiC) interfacial layer exhibit improved adhesion and show promise as wear-retardant coatings for biomedical implants. Although the DLC coatings show excellent biocompatibility in vitro, they may be susceptible to damage within the biological environment, leading to exposure of the interfacial silicon carbide. We have investigated the effects of two forms of silicon carbide (alpha-SiC and beta-SiC) on macrophages, fibroblasts and bone cells in vitro. Both alpha- and beta-SiC are well-tolerated by cells at concentrations of up to 0.1 mg/ml but cause severe cytotoxicity at a concentration of 1 mg/ml. If SiC is to be used as an interfacial layer on biomedical implants, the quality of the DLC coating must be optimised to minimise the risk of film breakdown.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: General SiC,Biocompatibility, Cell Culture","Adhesiveness;Alloys;Animals;Biocompatible Materials/administration & dosage/*toxicity;Carbon/administration & dosage/*toxicity;*Carbon Compounds, Inorganic;Cell Death;Cell Line;Cells, Cultured;Diamond;Dose-Response Relationship, Drug;Equipment Design;Fibroblasts/*drug effects/pathology;Humans;L-Lactate Dehydrogenase/analysis;Macrophages/*drug effects/pathology;Mice;Osteoclasts/*drug effects/pathology;Particle Size;Prostheses and Implants;Silicon Compounds/administration & dosage/*toxicity;Surface Properties",8555965,other,Implants_General,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
rayyan-66582378,"Amon, M 1994",Coating of cardiovascular stents with amorphous silicon carbide to reduce thrombogenicity,"Amon, M and Bolt, A and Heublein, B and Schaldach, M",1994,11,,10.1109/IEMBS.1994.415171,,eng,Proceedings of 16th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Low haemocompatibility of currently used cardiovascular stents causes a high risk of restenosis of dilated arterial blood vessels. In order to reduce thrombogenicity stents were coated with amorphous silicon carbide using the PECVD technique. After optimization of adhesion using HF and DC technique the silicon carbide coated stent shows a reduced thrombogenicity after implantation in the carotid of a pig for 90 minutes.<>,"RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,In Vivo Data,Material Properties,Cardiovascular Stent",Coatings;Cardiology;Amorphous silicon;Adhesives;Voltage;Plasma applications;Surface morphology;Silicon carbide;Blood;Etching,,amorphous,Cardiovascular,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
rayyan-66582384,"Amon, M 1995",Introduction of a new coronary stent with enhanced radioopacity and hemocompatibility,"Amon, M and Winkler, S and Dekker, K and Bolz, A and  Mittermayer, C and Schaldach, M",1995,9,,10.1109/IEMBS.1995.575023,,eng,Proceedings of 17th International Conference of the Engineering in Medicine and Biology Society,"Despite procedural progress, stenting therapy is still limited by subacute thrombosis, late restenosis as well as anticoagulant related bleeding complications. These limitations are attributed to the insufficient hemocompatibility of the implants as well as their poor X-ray visibility which impedes the control of the devices during angiography. Therefore a new cardiovascular stent is proposed showing a high radioopacity as well as a high hemocompatibility. This was realized by a hybrid design, consisting of a tantalum substrate and an amorphous silicon carbide coating, allowing a separate optimization of the stent body and the coating.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,In Vivo Data,Cardiovascular Stent,Biocompatibility, Cell Culture",Coatings;Silicon carbide;Implants;Amorphous silicon;Hemorrhaging;Impedance;Cardiology;Roentgenium;Biomedical engineering;Medical treatment,,amorphous,Cardiovascular,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
rayyan-66582738,"Askari, E 2012",Fabrication and mechanical properties of Al2O3/SiC/ZrO2 functionally graded material by electrophoretic deposition.,"Askari, E and Mehrali, M and Metselaar, IH and Kadri, NA and Rahman, MM",2012,4,,10.1016/j.jmbbm.2012.02.029,,eng,Journal of the mechanical behavior of biomedical materials,"This study describes the synthesis of Al(2)O(3)/SiC/ZrO(2) functionally graded material (FGM) in bio-implants (artificial joints) by electrophoretic deposition (EPD). A suitable suspension that was based on 2-butanone was applied for the EPD of Al(2)O(3)/SiC/ZrO(2), and a pressureless sintering process was applied as a presintering. Hot isostatic pressing (HIP) was used to densify the deposit, with beneficial mechanical properties after 2 h at 1800 Â°C in Ar atmosphere. The maximum hardness in the outer layer (90 vol.% Al(2)O(3)+10 vol.% SiC) and maximum fracture toughness in the core layer (75 vol.% Al(2)O(3)+10 vol.% SiC + 15 vol.% ZrO(2)) composite were 20.8Â±0.3 GPa and 8Â±0.1 MPa m(1/2), respectively. The results, when compared with results from Al(2)O(3)/ZrO(2) FGM, showed that SiC increased the compressive stresses in the outer layers, while the inner layers were under a residual tensile stress.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Dental,General SiC,Fabrication Method,Material Properties","Aluminum Oxide/*chemistry;Biocompatible Materials/*chemistry;Butanones/chemistry;Carbon Compounds, Inorganic/*chemistry;Compressive Strength;Electrophoresis/*methods;Hardness;Hot Temperature;*Joint Prosthesis;Materials Testing;Powders;Prosthesis Design;Silicon Compounds/*chemistry;Stress, Mechanical;Surface Properties;Temperature;Tensile Strength;X-Ray Diffraction;Zirconium/*chemistry",22732480,other,Bone,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
