refID,doi,pubmed_id,title,authors,journal,year,month,day,SiC_label_count,SiC_Type,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,Category_label_count,Category,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_OtherTech,Data_label_count,Data_Reported,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Ababneh, M 2017",10.1109/UEMCON.2017.8249040,,Design of a SiC implantable rectenna for wireless in-vivo biomedical devices,"Ababneh, M. M. and Jasim, M. and Puttananjegowda, K. and Perez, S. and Afroz, S. and Thomas, S. and Tan, Y. K.","2017 IEEE 8th Annual Ubiquitous Computing, Electronics and Mobile Communication Conference (UEMCON)",2017,10,19,1,4H-SiC,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Biosensors,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,38547834,Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",Biomaterials,2024,3,21,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,InVivo_Animal",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Afonso Camargo, S 2020",10.3390/jfb11020033,32443691,Anti-Bacterial Properties and Biocompatibility of Novel SiC Coating for Dental Ceramic,"Afonso Camargo, SE and Mohiuddeen, AS and Fares, C and Partain, JL and Carey, PH 4th and Ren, F and Hsu, SM and Clark, AE and Esquivel-Upshaw, JF",Journal of functional biomaterials,2020,11,1,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Afroz, S 2013",10.1109/ICSENS.2013.6688379,,Implantable SiC based RF antenna biosensor for continuous glucose monitoring,"Afroz, S. and Thomas, S. W. and Mumcu, G. and Saddow, S. E.","SENSORS, 2013 IEEE",2013,11,3,1,4H-SiC,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Biosensors,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,ExVivo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Alfotawi, R 2023",10.1097/SCS.0000000000009864,38014939,In Vivo Analysis of Porous Bioactive Silicon Carbide Scaffold for Craniofacial Bone Augmentation,"Alfotawi, R and Premnath, S and El-Ghannam, A and Alsafadi, M and Mahmood, A",The Journal of craniofacial surgery,2023,11,28,1,crystalline_unspecified,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,"Fabrication,MaterialProperties,Benchtop,CellCulture,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Allen, M 1995",10.3233/BME-1995-5302,8555965,"Toxicity of particulate silicon carbide for macrophages, fibroblasts and osteoblast-like cells in vitro","Allen, M and Butter, R and Chandra, L and Lettington, A and Rushton, N",Bio-medical materials and engineering,1995,8,1,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,CellCulture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Amon, M 1994",10.1109/IEMBS.1994.415171,,Coating of cardiovascular stents with amorphous silicon carbide to reduce thrombogenicity,"Amon, M and Bolt, A and Heublein, B and Schaldach, M",Proceedings of 16th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,1994,11,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"MaterialProperties,InVivo_Animal",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Amon, M 1995",10.1109/IEMBS.1995.575023,,Introduction of a new coronary stent with enhanced radioopacity and hemocompatibility,"Amon, M and Winkler, S and Dekker, K and Bolz, A and  Mittermayer, C and Schaldach, M",Proceedings of 17th International Conference of the Engineering in Medicine and Biology Society,1995,9,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"CellCulture,InVivo_Animal",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Askari, E 2012",10.1016/j.jmbbm.2012.02.029,22732480,Fabrication and mechanical properties of Al2O3/SiC/ZrO2 functionally graded material by electrophoretic deposition,"Askari, E and Mehrali, M and Metselaar, IH and Kadri, NA and Rahman, MM",Journal of the mechanical behavior of biomedical materials,2012,4,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Aspenberg, P 1996",10.1016/0142-9612(96)81418-9,8730965,Benign response to particles of diamond and SiC: bone chamber studies of new joint replacement coating materials in rabbits,"Aspenberg, P and Anttila, A and Konttinen, YT and Lappalainen, R and Goodman, SB and Nordsletten, L and Santavirta, S",Biomaterials,1996,4,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,InVivo_Animal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
