refID,doi,pubmed_id,title,authors,year,month,day,journal,Review_MainTopics,NeuralEngReview_SubTopics,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_Other,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Ahn, S 2019",10.3390/mi10080508,,Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,"Ahn, SH and Jeong, J and Kim, SJ",2019,7,31,MICROMACHINES,x,x,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Catellani, A 2007",10.1088/0022-3727/40/20/S07,,Modifications of cubic SiC surfaces studied by ab initio simulations: from gas adsorption to organic functionalization,"Catellani, A and Cicero, G",2007,10,5,JOURNAL OF PHYSICS D-APPLIED PHYSICS,x,x,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Faisal, S 2022",10.1021/acsanm.2c03056,,Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,"Faisal, SN and Iacopi, F",2022,7,,ACS APPLIED NANO MATERIALS,x,x,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Fan, J 2010",10.1002/smll.201000543,20730824,"Group IV nanoparticles: synthesis, properties, and biological applications","Fan, J and Chu, PK",2010,10,20,"Small (Weinheim an der Bergstrasse, Germany)",x,x,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Foti, G 2001",10.1016/S0169-4332(01)00751-6,,Silicon carbide: from amorphous to crystalline material,"Foti, G",2001,12,12,APPLIED SURFACE SCIENCE,x,x,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Gablech, I 2023",10.1002/aelm.202300258,,State-of-the-Art Electronic Materials for Thin Films in Bioelectronics,"Gablech, I and Glowacki, ED",2023,8,,ADVANCED ELECTRONIC MATERIALS,x,x,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Gavalda-Diaz, O 2025",10.1177/09506608241308337,,Toughening of ceramics and ceramic composites through microstructure engineering: A review,"Gavalda-Diaz, O and Saiz, E and Chevalier, J and Bouville, F",2025,1,2,INTERNATIONAL MATERIALS REVIEWS,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Gorenoi, V 2005",https://pubmed.ncbi.nlm.nih.gov/21289927/ ,21289927,Coated stents to prevent restenosis in coronary heart disease,"Gorenoi, V and Dintsios, CM and Hagen, A",2005,11,2,GMS health technology assessment,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Haase, J 1999",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1540-8183.1999.tb00672.x,,Stent coatings: How to reduce the biological response to vessel wall injury,"Haase, J",1999,,,JOURNAL OF INTERVENTIONAL CARDIOLOGY,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Hansi, C 2009",10.1002/ccd.21834,19235237,"Differences of platelet adhesion and thrombus activation on amorphous silicon carbide, magnesium alloy, stainless steel, and cobalt chromium stent surfaces","Hansi, C and Arab, A and Rzany, A and Ahrens, I and Bode, C and Hehrlein, C",2009,2,2,Catheterization and cardiovascular interventions : official journal of the           Society for Cardiac Angiography & Interventions,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Itoh, A 1997",10.1080/10408439708241260,,Single crystal growth of SiC and electronic devices,"Itoh, A and Matsunami, H",1997,,,Critical Reviews in Solid State and Materials Sciences,x,x,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Kilic, A 2021",10.1149/1945-7111/ac0aaa,,Machine Learning Analysis of Ni/SiC Electrodeposition Using Association Rule Mining and Artificial Neural Network,"Kilic, A and Yildirim, R and Eroglu, D",2021,6,24,Journal of The Electrochemical Society,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Kotzar, G 2002",10.1016/s0142-9612(02)00007-8,12059024,Evaluation of MEMS materials of construction for implantable medical devices,"Kotzar, G and Freas, M and Abel, P and Fleischman, A and Roy, S and Zorman, C and Moran, JM and Melzak, J",2002,7,23,Biomaterials,x,x,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"Leber, M 2019",10.1007/978-981-13-2050-7_1,,Advances in Penetrating Multichannel Microelectrodes Based on the Utah Array Platform,"Leber, M and Körner, J and Reiche, CF and Yin, M and Bhandari, R and Franklin, R and Negi, S and Solzbacher, F",2019,11,16,NEURAL INTERFACE: FRONTIERS AND APPLICATIONS [Book 10.1007/978-981-13-2050-7],x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Li, C 2024",10.1039/d4tc00612g,,Recent advances in plasma etching for micro and nano fabrication of silicon-based materials: a review,"Li, CJ and Yang, YX and Qu, R and Cao, X and Liu, GD and Jin, X and Liu, YX and Liu, SG and Jiang, W and Zhang, XC",2024,11,21,JOURNAL OF MATERIALS CHEMISTRY C,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Lucia, O 2019",10.1109/MIE.2019.2942377,,Industrial Electronics for Biomedicine: A New Cancer Treatment Using Electroporation,"Lucia, O. and Sarnago, H. and Garcia-Sanchez, T. and Mir, L. M. and Burdio, J. M.",2019,12,23,IEEE Industrial Electronics Magazine,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mamun, A 2023",10.3390/mi14081557,37630093,Silicon Carbide-Based DNA Sensing Technologies,"Mamun, AA and McGarrity, M and Kim, JH and Zhao, F",2023,8,4,Micromachines,x,x,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
