DataFrameID,key,refID,title,authors,year,month,day,doi,pubmed_id,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,InVivo,MaterialProperties,FabricationMethods,Benchtop,pub_decade,SubjectsCount,Species,Strain,Sex,Implant_Location,Implant_Devices_per_Animal,Implant_Speed_mm/s,Implant_Depth_mm,Insertion_Aid,Max_Insertion_Force_mN,Implant_Duration_days,Implant_Duration_wks,DeviceID,Device_Substrate,Number_Shanks,Number_Channels,SiC_film_thickness_nm,Echem_Configuration,Reference_Electrode,Refernece_Location,Counter_Electrode,Counter_Location,ElectrodeSite_Material,Electrode_Diameter_um,Electrode_Length_um,Electrode_Width_um,Electrode_Area_um2,Device_ShankDiameter_um,Device_Shank_Pitch_um,Device_ShankLength_mm,Device_ShankWidth_um,Device_ShankThickness_um,Device_Xsection_Area_um2,Insertion_Tissue_DimpleDepth_avg_um,Insertion_Tissue_DimpleDepth_std_um,InsertionForce_max(Fm)_mN,PenetrationForce(Fp)_mN,InsertionForce_steadystate(Fs)_mN,InsertionForce_RelaxationRate_uN/s,Stim-Record_Electrode_Distance_mm,Stimulation_Location,Stimulation_Configuration,Stimulation_Total_Time_hr,Stimulation_Sessions_per_day,Stimulation_Session_Duration_min,Stimulation_Duration_s,Stimulation_Pulses,Stimulation_Qph_nC/ph,Stimulation_Current_uA,Stimulation_Pulse_Width_us,Stimulation_IPdelay_us,Stimulation_Rate_pps,CMAP_Recording_Location,CMAP_mV,VT_Qinj_mc/cm^2,VT_Vdrive_V,VT_Emc_V,Impedance_Method,EIS_low_limit_Hz,EIS_high_limit_Hz,Impedance_1Hz_Mohm,Impedance_5Hz_Mohm,Impedance_10Hz_Mohm,Impedance_50Hz_Mohm,Impedance_100Hz_Mohm,Impedance_1kHz_Mohm,Impedance_10kHz_kohm,Impedance_30kHz_kohm,CV_low_limit_V,CV_high_limit_V,CSCc_0.05V/s,CSCc_50V/s,Encapsulation_Thickness_SiC_um,Encapsulation_Thickness_Control_um,Functional_Channels_count,Functional_Channels_%,Recording_ReferenceElectrode,Recording_ReferenceElectrode_Location,Recording_SamplingRate_kHz,Recording_Active_Electrode_Yield_(AEY)_%,Recording_Signal_to_Noise_Ratio_(SNR),Recording_Peak-to-Peak_Voltage_(Vpp)_uV,RMS_Noise_uV,Units_per_active_channel,LFP_amplitude_mV,LFP_amplitude_pk-to-pk_uV,LFP_bandpower_dB,Power_Spectral_Density_delta_dB,Power_Spectral_Density_theta_dB,Power_Spectral_Density_alpha_dB,Power_Spectral_Density_beta_dB,Power_Spectral_Density_low-gamma_dB,Power_Spectral_Density_high-gamma_dB,Histo_Primary_Antibodies,Histo_Secondary_Antibodies,Histo_Imaging_Method,Histo_Neuron_Density_CrossSection_count/cm^2,Histo_Neuron_Density_Longitudinal_meancounts,Histo_Distance_from_Implant_um,Histo_Depth_um,Intensity_NeuN_Sham,Intensity_NeuN_aSiC,Intensity_GFAP_Sham,Intensity_GFAP_aSiC,Intensity_CD68_Sham,Intensity_CD68_aSiC,Intensity_DAPI_Sham,Intensity_DAPI_aSiC,Delamination_%_Channels,OtherInfo
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,38547834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2020,7,Rat,Sprague-Dawley,Female,Motor Cortex,1,0.1,1.5,Actuated Neuroscience NeuralGlider (0.5W),,1,0,Intracortical,"Polyimide, a-SiC",4,16,,3-electrode,Ag/AgCl,Tail,Pt,Tail,SIROF,15.96,,,200,,,2,20,8,160,,,,,,,,,,,,,,,,,,,,,,,,,Potentiostatic EIS,1,100000,,,,,,,,,,,,,,,112,100.00%,,,,92,12.5,141,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,Fig2 = EIS data vs. time in vivo; Fig3 = CV data vs. time in vivo.
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,38547834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2020,7,Rat,Sprague-Dawley,Female,Motor Cortex,1,0.1,1.5,Actuated Neuroscience NeuralGlider (0.5W),,7,1,Intracortical,"Polyimide, a-SiC",4,16,,3-electrode,Ag/AgCl,Tail,Pt,Tail,SIROF,15.96,,,200,,,2,20,8,160,,,,,,,,,,,,,,,,,,,,,,,,,Potentiostatic EIS,1,100000,11.6,,,,,1.2,,110,,,58.1,4.27,,,,,,,,87.5,12.3,114,9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,Fig2 = EIS data vs. time in vivo; Fig3 = CV data vs. time in vivo.
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,38547834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2020,7,Rat,Sprague-Dawley,Female,Motor Cortex,1,0.1,1.5,Actuated Neuroscience NeuralGlider (0.5W),,112,16,Intracortical,"Polyimide, a-SiC",4,16,,3-electrode,Ag/AgCl,Tail,Pt,Tail,SIROF,15.96,,,200,,,2,20,8,160,,,,,,,,,,,,,,,,,,,,,,,,,Potentiostatic EIS,1,100000,13.5,,,,,2.9,,130,,,55.9,5.93,,,80,71.40%,,,,51,9.5,85,9,0.6,,,,,,,,,,"GFAP, NeuN","goat anti chicken IgY (Alexa Fluor 647), goat anti rabbit IgG (Alexa Fluor 555)",Confocal,Not Reported,Not Reported,50,800,0.9,0.9,1,1.7,,,,,,Fig2 = EIS data vs. time in vivo; Fig3 = CV data vs. time in vivo.
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,38547834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2020,7,Rat,Sprague-Dawley,Female,Motor Cortex,1,0.1,1.5,Actuated Neuroscience NeuralGlider (0.5W),,112,16,Intracortical,"Polyimide, a-SiC",4,16,,3-electrode,Ag/AgCl,Tail,Pt,Tail,SIROF,15.96,,,200,,,2,20,8,160,,,,,,,,,,,,,,,,,,,,,,,,,Potentiostatic EIS,1,100000,13.5,,,,,2.9,,130,,,55.9,5.93,,,80,71.40%,,,,51,9.5,85,9,0.6,,,,,,,,,,"GFAP, NeuN","goat anti chicken IgY (Alexa Fluor 647), goat anti rabbit IgG (Alexa Fluor 555)",Confocal,Not Reported,Not Reported,50,1200,0.9,0.9,1,1.2,,,,,,Fig2 = EIS data vs. time in vivo; Fig3 = CV data vs. time in vivo.
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3,21,10.1016/j.biomaterials.2024.122543,38547834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2020,7,Rat,Sprague-Dawley,Female,Motor Cortex,1,0.1,1.5,Actuated Neuroscience NeuralGlider (0.5W),,112,16,Intracortical,"Polyimide, a-SiC",4,16,,3-electrode,Ag/AgCl,Tail,Pt,Tail,SIROF,15.96,,,200,,,2,20,8,160,,,,,,,,,,,,,,,,,,,,,,,,,Potentiostatic EIS,1,100000,13.5,,,,,2.9,,130,,,55.9,5.93,,,80,71.40%,,,,51,9.5,85,9,0.6,,,,,,,,,,"GFAP, NeuN","goat anti chicken IgY (Alexa Fluor 647), goat anti rabbit IgG (Alexa Fluor 555)",Confocal,Not Reported,Not Reported,500,1200,0.9,0.9,0.9,0.9,,,,,,Fig2 = EIS data vs. time in vivo; Fig3 = CV data vs. time in vivo.
37,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12,1,10.1002/jbm.a.10152,14613234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2000,1,Rabbit,"New Zealand, White",Not Reported,Subcutaneous,4,,,,,60,8.57,Material Sample,aSiC Coated Quartz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quartz discs coated on one side only with a-SiC, 4 discs in each of 2 animals, silicone elastomer edges; animal 1 = multiple small incisions, animal 2 = one large incision"
37,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12,1,10.1002/jbm.a.10152,14613234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2000,1,Rabbit,"New Zealand, White",Not Reported,Subcutaneous,4,,,,,90,12.86,Material Sample,aSiC Coated Quartz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quartz discs coated on one side only with a-SiC, 4 discs in each of 2 animals, silicone elastomer edges; animal 1 = multiple small incisions, animal 2 = one large incision"
37,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12,1,10.1002/jbm.a.10152,14613234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2000,2,Rabbit,"New Zealand, White",Not Reported,Parietal Cortex,2,,,,,120,17.14,Intracortical,Quartz,1,1,,,,,,,,,,,,50,,2,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrodes = 50um diameter wire, ground at an angle to an oval shape"
37,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12,1,10.1002/jbm.a.10152,14613234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2000,2,Rabbit,"New Zealand, White",Not Reported,Parietal Cortex,4,,,,,120,17.14,Intracortical,a-SiC Coated Iridium Wire Inside Quartz/Glass Tube,1,1,,,,,,,Ir/AIROF,,,,2000,50,,2,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,9,20,,,,,,,,,,,"Mean capsule thickness was 10–12 um. While the measured thickness above a-SiC-coated surface was slightly less than that for quartz or silicone control surfaces, the differences were not statistically significant. Absence of chronic inflammatory response (edema, monocytes, lymphocytes, macrophages, and active fibroblasts) for any of insertion. However, within 100um of the shafts the normal neuron density is observed. Sometimes, a “piling up” of neurons was observed adjacent to the shafts as shown in Figure 17(A). This is caused by lateral displacement and compression of the tissue by the volume of the shaft. Despite this, neurons appeared healthy although somewhat smaller than neurons more distant from the track.  Electrodes = 50um diameter wire, ground at an angle to an oval shape"
37,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12,1,10.1002/jbm.a.10152,14613234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2000,2,Rabbit,"New Zealand, White",Not Reported,Parietal Cortex,4,,,,,120,17.14,Intracortical,a-SiC Coated Iridium Wire Inside Quartz/Glass Tube,1,1,,,,,,,Ir/AIROF,,,,2000,50,,2,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,8,50,,,,,,,,,,,"Mean capsule thickness was 10–12 um. While the measured thickness above a-SiC-coated surface was slightly less than that for quartz or silicone control surfaces, the differences were not statistically significant. Absence of chronic inflammatory response (edema, monocytes, lymphocytes, macrophages, and active fibroblasts) for any of insertion. However, within 100um of the shafts the normal neuron density is observed. Sometimes, a “piling up” of neurons was observed adjacent to the shafts as shown in Figure 17(A). This is caused by lateral displacement and compression of the tissue by the volume of the shaft. Despite this, neurons appeared healthy although somewhat smaller than neurons more distant from the track.  Electrodes = 50um diameter wire, ground at an angle to an oval shape"
