,key,refID,title,authors,year,month,day,doi,correction_doi,language,journal,abstract,notes,keywords,pubmed_id,SiC_Type,Application,review_article,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,MaterialProperties,FabricationMethods,BenchtopData
12,rayyan-66582853,"Babaroud, N 2020",PDMS-Parylene Adhesion Improvement via Ceramic Interlayers to Strengthen the Encapsulation of Active Neural Implants,"Babaroud, NB and Dekker, R and Serdijn, W and Giagka, V",2020,7.0,,10.1109/EMBC44109.2020.9175646,,eng,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"Parylene-C has been used as a substrate and encapsulation material for many implantable medical devices. However, to ensure the flexibility required in some applications, minimize tissue reaction, and protect parylene from degradation in vivo an additional outmost layer of polydimethylsiloxane (PDMS) is desired. In such a scenario, the adhesion of PDMS to parylene is of critical importance to prevent early failure caused by delamination in the harsh environment of the human body. Towards this goal, we propose a method based on creating chemical covalent bonds using intermediate ceramic layers as adhesion promoters between PDMS and parylene.To evaluate our concept, we prepared three different sets of samples with PDMS on parylene without and with oxygen plasma treatment (the most commonly employed method to increase adhesion), and samples with our proposed ceramic intermediate layers of silicon carbide (SiC) and silicon dioxide (SiO2). The samples were soaked in phosphate-buffered saline (PBS) solution at room temperature and were inspected under an optical microscope. To investigate the adhesion property, cross-cut tape tests and peel tests were performed. The results showed a significant improvement of the adhesion and in-soak long-term performance of our proposed encapsulation stack compared with PDMS on parylene and PDMS on plasma-treated parylene. We aim to use the proposed solution to package bare silicon chips on active implants.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,General SiC,Fabrication Method,Material Properties,Benchtop/Soak Testing",Adhesives;Silicon carbide;Ceramics;Encapsulation;Delamination;Substrates;Chemicals,33018733,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,True
14,rayyan-66582680,"Bernardin, E 2018",Demonstration of a Robust All-Silicon-Carbide Intracortical Neural Interface.,"Bernardin, EK and Frewin, CL and Everly, R and Ul Hassan, J and Saddow, SE",2018,8.0,18,10.3390/mi9080412,10.3390/mi9090451,eng,Micromachines,"Intracortical neural interfaces (INI) have made impressive progress in recent years but still display questionable long-term reliability. Here, we report on the development and characterization of highly resilient monolithic silicon carbide (SiC) neural devices. SiC is a physically robust, biocompatible, and chemically inert semiconductor. The device support was micromachined from p-type SiC with conductors created from n-type SiC, simultaneously providing electrical isolation through the resulting p-n junction. Electrodes possessed geometric surface area (GSA) varying from 496 to 500 K Î¼mÂ². Electrical characterization showed high-performance p-n diode behavior, with typical turn-on voltages of ~2.3 V and reverse bias leakage below 1 nArms. Current leakage between adjacent electrodes was ~7.5 nArms over a voltage range of -50 V to 50 V. The devices interacted electrochemically with a purely capacitive relationship at frequencies less than 10 kHz. Electrode impedance ranged from 675 Â± 130 kÎ© (GSA = 496 ÂµmÂ²) to 46.5 Â± 4.80 kÎ© (GSA = 500 K ÂµmÂ²). Since the all-SiC devices rely on the integration of only robust and highly compatible SiC material, they offer a promising solution to probe delamination and biological rejection associated with the use of multiple materials used in many current INI devices.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",Neural interface; silicon carbide; robust microelectrode,30424345,amorphous,Neural_Engineering,False,True,False,False,False,True,False,True,True,True,True
17,rayyan-66582669,"Beygi, M 2019",Fabrication of a Monolithic Implantable Neural Interface from Cubic Silicon Carbide.,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Saddow, SE",2019,6.0,29,10.3390/mi10070430,,eng,Micromachines,"One of the main issues with micron-sized intracortical neural interfaces (INIs) is their long-term reliability, with one major factor stemming from the material failure caused by the heterogeneous integration of multiple materials used to realize the implant. Single crystalline cubic silicon carbide (3C-SiC) is a semiconductor material that has been long recognized for its mechanical robustness and chemical inertness. It has the benefit of demonstrated biocompatibility, which makes it a promising candidate for chronically-stable, implantable INIs. Here, we report on the fabrication and initial electrochemical characterization of a nearly monolithic, Michigan-style 3C-SiC microelectrode array (MEA) probe. The probe consists of a single 5 mm-long shank with 16 electrode sites. An ~8 Âµm-thick p-type 3C-SiC epilayer was grown on a silicon-on-insulator (SOI) wafer, which was followed by a ~2 Âµm-thick epilayer of heavily n-type (n(+)) 3C-SiC in order to form conductive traces and the electrode sites. Diodes formed between the p and n(+) layers provided substrate isolation between the channels. A thin layer of amorphous silicon carbide (a-SiC) was deposited via plasma-enhanced chemical vapor deposition (PECVD) to insulate the surface of the probe from the external environment. Forming the probes on a SOI wafer supported the ease of probe removal from the handle wafer by simple immersion in HF, thus aiding in the manufacturability of the probes. Free-standing probes and planar single-ended test microelectrodes were fabricated from the same 3C-SiC epiwafers. Cyclic voltammetry (CV) and electrochemical impedance spectroscopy (EIS) were performed on test microelectrodes with an area of 491 Âµm(2) in phosphate buffered saline (PBS) solution. The measurements showed an impedance magnitude of 165 kÎ© Â± 14.7 kÎ© (mean Â± standard deviation) at 1 kHz, anodic charge storage capacity (CSC) of 15.4 Â± 1.46 mC/cm(2), and a cathodic CSC of 15.2 Â± 1.03 mC/cm(2). Current-voltage tests were conducted to characterize the p-n diode, n-p-n junction isolation, and leakage currents. The turn-on voltage was determined to be on the order of ~1.4 V and the leakage current was less than 8 Î¼A(rms). This all-SiC neural probe realizes nearly monolithic integration of device components to provide a likely neurocompatible INI that should mitigate long-term reliability issues associated with chronic implantation.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",3C-SiC; MEA; SiC; amorphous SiC; doped SiC; electrochemical characterization; epitaxial growth; microelectrode array; n-type; neural implant; neural interface; neural probe; p-type,31261887,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,True,True
18,rayyan-66582637,"Beygi, M 2021a",Silicon Carbide and MRI: Towards Developing a MRI Safe Neural Interface.,"Beygi, M. and Dominguez-Viqueira, W. and Feng, C. and Mumcu, G. and Frewin, C.L. and La Via, F. and Saddow, S.E.",2021,1.0,26,10.3390/mi12020126,,eng,Micromachines,"An essential method to investigate neuromodulation effects of an invasive neural interface (INI) is magnetic resonance imaging (MRI). Presently, MRI imaging of patients with neural implants is highly restricted in high field MRI (e.g., 3 T and higher) due to patient safety concerns. This results in lower resolution MRI images and, consequently, degrades the efficacy of MRI imaging for diagnostic purposes in these patients. Cubic silicon carbide (3C-SiC) is a biocompatible wide-band-gap semiconductor with a high thermal conductivity and magnetic susceptibility compatible with brain tissue. It also has modifiable electrical conductivity through doping level control. These properties can improve the MRI compliance of 3C-SiC INIs, specifically in high field MRI scanning. In this work, the MRI compliance of epitaxial SiC films grown on various Si wafers, used to implement a monolithic neural implant (all-SiC), was studied. Via finite element method (FEM) and Fourier-based simulations, the specific absorption rate (SAR), induced heating, and image artifacts caused by the portion of the implant within a brain tissue phantom located in a 7 T small animal MRI machine were estimated and measured. The specific goal was to compare implant materials; thus, the effect of leads outside the tissue was not considered. The results of the simulations were validated via phantom experiments in the same 7 T MRI system. The simulation and experimental results revealed that free-standing 3C-SiC films had little to no image artifacts compared to silicon and platinum reference materials inside the MRI at 7 T. In addition, FEM simulations predicted an ~30% SAR reduction for 3C-SiC compared to Pt. These initial simulations and experiments indicate an all-SiC INI may effectively reduce MRI induced heating and image artifacts in high field MRI. In order to evaluate the MRI safety of a closed-loop, fully functional all-SiC INI as per ISO/TS 10974:2018 standard, additional research and development is being conducted and will be reported at a later date.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Polycrystalline SiC,Benchtop/Soak Testing",MRI compatibility; silicon carbide; neural interface; SAR; finite element simulation; MRI image artifacts,33530350,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,False
19,rayyan-66582997,"Beygi, M 2021b",FABRICATION OF A MONOLITHIC SILICON CARBIDE IMPLANTABLE NEURAL INTERFACE USING SOI FOR EASE OF MANUFACTURE,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Judy, J and Saddow, SE",2021,6.0,29,10.21300/21.4.2021.11,,eng,TECHNOLOGY AND INNOVATION,"One of the main issues with micron-sized intracortical neural interfaces (INIs) is their long-term reliability, with one major factor stemming from the material failure caused by the heterogeneous integration of multiple materials. Single crystalline cubic silicon carbide (3C-SiC) has the benefit of demonstrated biocompatibility, which makes it a promising candidate for chronically stable, implantable INIs. Here, we report on the fabrication and initial electrochemical characterization of a nearly monolithic, Michigan-style 3C-SiC microelectrode array probe. The probe consists of a single 5 mm-long shank with 16 electrode sites. An similar to 8 mu m-thick p-type 3C-SiC epilayer was grown on a silicon-on-insulator (SOI) wafer, which was followed by a similar to 2 mu m-thick epilayer of heavily n-type (n+) 3C-SiC in order to form conductive traces and the electrode sites. Diodes formed between the p and n+ layers provided substrate isolation between the channels. A thin layer of amorphous silicon carbide (a-SiC) was deposited via plasma-enhanced chemical vapor deposition to insulate the surface of the probe from the external environment. Forming the probes on an SOI wafer supported the ease of probe removal from the handle wafer by simple immersion in hydrofluoric acid HF, thus aiding in the manufacturability of the probes. Free-standing probes and planar single-ended test microelectrodes were fabricated from the same 3C-SiC epiwafers. Cyclic voltammetry and electrochemical impedance spectroscopy were performed on test microelectrodes with an area of 491 mu m(2) in phosphate buffered saline solution. In addition, current-voltage tests were conducted to characterize the p-n diode, n-p-n junction isolation, and leakage currents. This all-SiC neural probe realizes monolithic integration of device components to provide a likely neurocompatible INI that should mitigate long-term reliability issues associated with chronic implantation.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",,,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,True,True
41,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12.0,1,10.1002/jbm.a.10152,,eng,Journal of biomedical materials research. Part A,"Amorphous silicon carbide (a-SiC) films, deposited by plasma-enhanced chemical vapor deposition (PECVD), have been evaluated as insulating coatings for implantable microelectrodes. The a-SiC was deposited on platinum or iridium wire for measurement of electrical leakage through the coating in phosphate-buffered saline (PBS, pH 7.4). Low leakage currents of <10(-11) A were observed over a +/-5-V bias. The electronic resistivity of a-SiC was 3 x 10(13) Omega-cm. Dissolution rates of a-SiC in PBS at 37 and 90 degrees C were determined from changes in infrared absorption band intensities and compared with those of silicon nitride formed by low-pressure chemical vapor deposition (LPCVD). Dissolution rates of LPCVD silicon nitride were 2 nm/h and 0.4 nm/day at 90 and 37 degrees C, respectively, while a-SiC had a dissolution rate of 0.1 nm/h at 90 degrees C and no measurable dissolution at 37 degrees C. Biocompatibility was assessed by implanting a-SiC-coated quartz discs in the subcutaneous space of the New Zealand White rabbit. Histological evaluation showed no chronic inflammatory response and capsule thickness was comparable to silicone or uncoated quartz controls. Amorphous SiC-coated microelectrodes were implanted in the parietal cortex for periods up to 150 days and the cortical response evaluated by histological evaluation of neuronal viability at the implant site. The a-SiC was more stable in physiological saline than LPCVD Si(3)N(4) and well tolerated in the cortex.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Material Properties,Benchtop/Soak Testing","Animals;*Carbon Compounds, Inorganic;Cerebral Cortex;*Coated Materials, Biocompatible;*Electrodes, Implanted;Neurons/cytology;Rabbits;*Silicon Compounds;Spectrophotometry, Infrared",14613234,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,True
44,rayyan-66582560,"Cvancara, P 2019",3D Patterned Thin-Film Electrodes for Neural Prosthetics-Proof of Concept,"Cvancara, P. and Newman, S. and Stieglitz, T.",2019,3.0,,10.1109/NER.2019.8716920,,eng,2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),"The applications of polyimide (PI) based thin-film electrodes in neural implants has been steadily increasing in the last decades. Beside the advantages of factors such as size reduction and chemical inertness, the adhesion between PI and metals lacks the necessary robustness for chronic implantation [1]. Adhesion promoters like silicon carbide (SiC) and titanium help increase the long-term stability [1]-[3]. However crack formation is still probable in thin-film metallization of active contact sites, which can lead to detrimental thin-film metal delamination. This work presents our process to integrate 3D groove structures into the active contact sites, thereby reducing the probability of crack formation. The contact sites were entirely covered with a sputtered iridium oxide film (SIROF) and showed more conformable electrochemical properties compared to regular planar SIROF contact sites.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing","Electrodes;Adhesives;Platinum;Silicon carbide;SIROF,Polyimide;Delamination",,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,True
52,rayyan-66582678,"Deku, F 2018b",Amorphous Silicon Carbide Platform for Next Generation Penetrating Neural Interface Designs.,"Deku, F and Frewin, CL and Stiller, A and Cohen, Y and Aqeel, S and Joshi-Imre, A and Black, B and Gardner, TJ and Pancrazio, JJ and Cogan, SF",2018,9.0,20,10.3390/mi9100480,,eng,Micromachines,"Microelectrode arrays that consistently and reliably record and stimulate neural activity under conditions of chronic implantation have so far eluded the neural interface community due to failures attributed to both biotic and abiotic mechanisms. Arrays with transverse dimensions of 10 Âµm or below are thought to minimize the inflammatory response; however, the reduction of implant thickness also decreases buckling thresholds for materials with low Young's modulus. While these issues have been overcome using stiffer, thicker materials as transport shuttles during implantation, the acute damage from the use of shuttles may generate many other biotic complications. Amorphous silicon carbide (a-SiC) provides excellent electrical insulation and a large Young's modulus, allowing the fabrication of ultrasmall arrays with increased resistance to buckling. Prototype a-SiC intracortical implants were fabricated containing 8 - 16 single shanks which had critical thicknesses of either 4 Âµm or 6 Âµm. The 6 Âµm thick a-SiC shanks could penetrate rat cortex without an insertion aid. Single unit recordings from SIROF-coated arrays implanted without any structural support are presented. This work demonstrates that a-SiC can provide an excellent mechanical platform for devices that penetrate cortical tissue while maintaining a critical thickness less than 10 Âµm.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Material Properties",Amorphous silicon carbide; neural stimulation and recording; insertion force; microelectrodes; neural interfaces,30424413,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,False
53,rayyan-66582682,"Deku, F 2018c",Effect of oxidation on intrinsic residual stress in amorphous silicon carbide films.,"Deku, F and Mohammed, S and Joshi-Imre, A and Maeng, J and Danda, V and Gardner, TJ and Cogan, SF",2018,10.0,15,10.1002/jbm.b.34258,,eng,"Journal of biomedical materials research. Part B, Applied biomaterials","The change in residual stress in plasma enhanced chemical vapor deposition amorphous silicon carbide (a-SiC:H) films exposed to air and wet ambient environments is investigated. A close relationship between stress change and deposition condition is identified from mechanical and chemical characterization of a-SiC:H films. Evidence of amorphous silicon carbide films reacting with oxygen and water vapor in the ambient environment are presented. The effect of deposition parameters on oxidation and stress variation in a-SiC:H film is studied. It is found that the films deposited at low temperature or power are susceptible to oxidation and undergo a notable increase in compressive stress over time. Furthermore, the films deposited at sufficiently high temperature (â‰¥325 C) and power density (â‰¥0.2 W cm(-2) ) do not exhibit pronounced oxidation or temporal stress variation. These results serve as the basis for developing amorphous silicon carbide based dielectric encapsulation for implantable medical devices. Â© 2018 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater 107B: 1654-1661, 2019.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties","Carbon Compounds, Inorganic/*chemistry;Coated Materials, Biocompatible/*chemistry;Hot Temperature;Mechanical Phenomena;Membranes, Artificial;Molecular Conformation;Nitrogen/chemistry;Oxidation-Reduction;Oxygen/chemistry;Silicon Compounds/*chemistry;Surface Properties;Vapor Pressure;Water/chemistry",30321479,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,False
58,rayyan-66582693,"Diaz-Botia, C 2017b",A silicon carbide array for electrocorticography and peripheral nerve recording.,"Diaz-Botia, CA and Luna, LE and Neely, RM and Chamanzar, M and Carraro, C and Carmena, JM and Sabes, PN and Maboudian, R and Maharbiz, MM",2017,8.0,16,10.1088/1741-2552/aa7698,,eng,Journal of neural engineering,"OBJECTIVE: Current neural probes have a limited device lifetime of a few years. Their common failure mode is the degradation of insulating films and/or the delamination of the conductor-insulator interfaces. We sought to develop a technology that does not suffer from such limitations and would be suitable for chronic applications with very long device lifetimes. APPROACH: We developed a fabrication method that integrates polycrystalline conductive silicon carbide with insulating silicon carbide. The technology employs amorphous silicon carbide as the insulator and conductive silicon carbide at the recording sites, resulting in a seamless transition between doped and amorphous regions of the same material, eliminating heterogeneous interfaces prone to delamination. Silicon carbide has outstanding chemical stability, is biocompatible, is an excellent molecular barrier and is compatible with standard microfabrication processes. MAIN RESULTS: We have fabricated silicon carbide electrode arrays using our novel fabrication method. We conducted in vivo experiments in which electrocorticography recordings from the primary visual cortex of a rat were obtained and were of similar quality to those of polymer based electrocorticography arrays. The silicon carbide electrode arrays were also used as a cuff electrode wrapped around the sciatic nerve of a rat to record the nerve response to electrical stimulation. Finally, we demonstrated the outstanding long term stability of our insulating silicon carbide films through accelerated aging tests. SIGNIFICANCE: Clinical translation in neural engineering has been slowed in part due to the poor long term performance of current probes. Silicon carbide devices are a promising technology that may accelerate this transition by enabling truly chronic applications.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Fabrication Method,Polycrystalline SiC","Animals;Carbon Compounds, Inorganic/*chemistry;Electric Stimulation/methods;Electrocorticography/instrumentation/*methods;Electrodes, Implanted;Male;Peripheral Nerves/*physiology;Rats;Rats, Long-Evans;Sciatic Nerve/*physiology;Silicon Compounds/*chemistry;Visual Cortex/*physiology",28573982,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,True,True
