,,,,,,,,,,,,,,Silicon Carbide Type,,,,,,Application or Use Category,,,,,,Data Type Reported,,,,,,
key,refID,title,authors,year,month,day,doi,journal,abstract,keywords,pubmed_id,Review_MainTopics,NeuralEngReview_SubTopics,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_Other,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
rayyan-66583413,"Ahn, S 2019",Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,"Ahn, SH and Jeong, J and Kim, SJ",2019,7,31,10.3390/mi10080508,MICROMACHINES,"The development of reliable long-term encapsulation technologies for implantable biomedical devices is of paramount importance for the safe and stable operation of implants in the body over a period of several decades. Conventional technologies based on titanium or ceramic packaging, however, are not suitable for encapsulating microfabricated devices due to their limited scalability, incompatibility with microfabrication processes, and difficulties with miniaturization. A variety of emerging materials have been proposed for encapsulation of microfabricated implants, including thin-film inorganic coatings of Al2O3, HfO2, SiO2, SiC, and diamond, as well as organic polymers of polyimide, parylene, liquid crystal polymer, silicone elastomer, SU-8, and cyclic olefin copolymer. While none of these materials have yet been proven to be as hermetic as conventional metal packages nor widely used in regulatory approved devices for chronic implantation, a number of studies have demonstrated promising outcomes on their long-term encapsulation performance through a multitude of fabrication and testing methodologies. The present review article aims to provide a comprehensive, up-to-date overview of the long-term encapsulation performance of these emerging materials with a specific focus on publications that have quantitatively estimated the lifetime of encapsulation technologies in aqueous environments.",,,x,x,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66583038,"Catellani, A 2007",Modifications of cubic SiC surfaces studied by ab initio simulations: from gas adsorption to organic functionalization,"Catellani, A and Cicero, G",2007,10,5,10.1088/0022-3727/40/20/S07,JOURNAL OF PHYSICS D-APPLIED PHYSICS,"The ability to manipulate semiconductor surfaces and interfaces has gained significant attention in the past few years, in particular to design novel routes for the development of sensors and new materials, like intelligent tissues, for bio- physics applications. In this paper, we review some recent results on the atomic manipulation of cubic silicon carbide ( SiC) surfaces, as obtained by ab initio simulations, and compare them with the available experimental data. The main focus will be the study of the interaction and adsorption mechanism of simple molecules on SiC surfaces. SiC, and in particular the cubic polytype, is a wide- gap semiconductor, that for its inertness and transparency has been and still is considered a leading candidate material for biocompatible devices.",,,x,x,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66583012,"Faisal, S 2022",Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,"Faisal, SN and Iacopi, F",2022,7,,10.1021/acsanm.2c03056,ACS APPLIED NANO MATERIALS,"Detection and monitoring of neural signals is a fast-advancing area of research expected to impact a broad range of advanced applications, from healthcare to brain-machine and even brain-to-brain communications. Two-dimensional (2D) layered materials, such as graphene, MXenes, and transition metal dichakogenides, could lead to the development of superior and ultrathin thin-film electrodes for neural interfaces thanks to their atomic thickness, high-conductivity properties, and potential to combine additional functionalities. This review focuses on the recent advancement of 2D materials-based thin-film sensors for monitoring of bio-physiological signals using invasive and non-invasive approaches.",,,x,x,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66582756,"Fan, J 2010","Group IV nanoparticles: synthesis, properties, and biological applications","Fan, J and Chu, PK",2010,10,20,10.1002/smll.201000543,"Small (Weinheim an der Bergstrasse, Germany)","In this review, the emerging roles of group IV nanoparticles including silicon, diamond, silicon carbide, and germanium are summarized and discussed from the perspective of biologists, engineers, and medical practitioners. The synthesis, properties, and biological applications of these new nanomaterials have attracted great interest in the past few years. They have gradually evolved into promising biomaterials due to their innate biocompatibility; toxic ions are not released when they are used in vitro or in vivo, and their wide fluorescence spectral regions span the near-infrared, visible, and near-ultraviolet ranges. Additionally, they generally have good resistance against photobleaching and have lifetimes on the order of nanoseconds to microseconds, which are suitable for bioimaging. Some of the materials possess unique mechanical, chemical, or physical properties, such as ultrachemical and thermal stability, high hardness, high photostability, and no blinking. Recent data have revealed the superiority of these nanoparticles in biological imaging and drug delivery.",Animals;Biocompatible Materials/metabolism;Diagnostic Imaging/methods;Diamond/chemistry;Drug Delivery Systems;Humans;Nanoparticles/*chemistry;Silicon/chemistry,20730824,x,x,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66583127,"Foti, G 2001",Silicon carbide: from amorphous to crystalline material,"Foti, G",2001,12,12,10.1016/S0169-4332(01)00751-6,APPLIED SURFACE SCIENCE,"Silicon carbide is a wide band gap semiconductor with a large variety of atomic configuration both in the crystalline as well as in the amorphous phase. The structure and properties of silicon carbide depend on the preparation conditions. Amorphous SiC (a-SiC) can be easily prepared by low temperature (400 degreesC) chemical vapour deposition (CVD) from the SiH4/CH4 gas mixture, and hydrogen incorporation allows to decrease the defect density down to 10(17) cm(-3) and to obtain high luminescent yield material. At 900 degreesC solid phase epitaxy takes place on (1 1 2 0) and (0 0 0 1) substrates, and the residual disorder depends on the crystallographic orientation. At 1650 degreesC CVD at low pressure on single crystal gives free-of-defects layer (10(14) cm(-3)) with high electron mobility up to 400 cm(2) V-1 s(-1) for 4H substrate. High growth rate (1 mm/h) for SiC bulk is reached with sublimation process at temperature as high as 2400 degreesC, however, macroscopic defects as micropipes or polytype inclusions are present. Intrinsic defects, vacancy or interstitial-type, introduced during the growth or intentionally by kiloelectronvolt ion implantation, can be removed after a thermal treatment at 1500 degreesC. Good performance optical and electrical devices are already fabricated with amorphous and crystalline silicon carbide. (C) 2001 Published by Elsevier Science B.V.",Thermodynamics; Epitaxy; Free energy; Defects; Annealing,,x,x,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66583317,"Gablech, I 2023",State-of-the-Art Electronic Materials for Thin Films in Bioelectronics,"Gablech, I and Glowacki, ED",2023,8,,10.1002/aelm.202300258,ADVANCED ELECTRONIC MATERIALS,"This review is dedicated to electronics materials enabling thin-film-based neural interface and bioelectronics devices. First-generation bioelectronic medicine devices feature hand-crafted bulk interface electrodes, wires and interconnects, and insulators. This review discusses how modern materials science, especially know-how repurposed from semiconductor and microdevice technologies, enables next-generation bioelectronics. Those are divided into two subgroups: second and third generation. The former refers to rigid microscaled devices, while the latter is defined as soft, ultrathin, and flexible microdevices. A critical assessment of different biointerface electrodes, conductors for interconnects, and insulators for substrates, passivation, and encapsulation layers is made. The goal is not to give an exhaustive account of every use-example of given materials, but to point out specific aspects that are relevant to making the right choices for materials for a given device or application. Unique advantages of specific materials are highlighted, while also focusing on weaker points and caveats that those materials may have. The goal is to have an up-to-date handbook for persons entering the field which also points out tips and tricks as well as challenging problems that researchers can be inspired to confront and overcome.",,,x,x,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-150234034,"Gavalda-Diaz, O 2025",Toughening of ceramics and ceramic composites through microstructure engineering: A review,"Gavalda-Diaz, O and Saiz, E and Chevalier, J and Bouville, F",2025,1,2,10.1177/09506608241308337,INTERNATIONAL MATERIALS REVIEWS,"We conventionally assume that ceramics are brittle. The risks induced by this structural behaviour do not cancel the undeniable need for ceramics in applications with extreme environmental demands. These constraints could be a high working temperature or wear, where metals cannot be used, or in contact with the human body, where the inherent chemical resistance of ceramics makes them more biocompatible and durable. While the first statement on brittleness still holds true for most ceramics, solutions have been found for some: damage-resistant Ceramic Matrix Composites (CMC) are now part of plane engines, and tough zirconia-based ceramics are routinely used in orthopaedic and dental implants. Because of the intrinsic brittleness of ceramics, the required toughness increase must be introduced by tailoring their microstructure. A lot of ground has been covered since the first descriptions of the toughening mechanisms in ceramics in the 1970s. The goal of this review is thus three-fold: summarise the necessary background in fracture mechanics to discuss complex fracture behaviours, provide a picture of the recent development on all the strategies to toughen ceramics, and finally extract lessons on the efficiency of these various toughening mechanisms. In terms of materials, this review will cover CMCs, zirconia-based ceramics, and bulk ceramics using microstructural engineering, which includes the combination of elongated grains with grain boundary engineering, using carbon allotropes, MAX phases, and bioinspired microstructures. For each we will discuss both the core toughening mechanisms and the most recent studies on it. By gathering all these research strands, we will provide in the final part a reflection on the link between toughness and pseudo-ductile behaviour and how it can help to hopefully reach uncharted territory in terms of structural properties in the future.     FU  - H2020 European Research Council [H2020-ERC-STG, [degrees948336] SSTEEL]; European Research Council Starting Grant     FX  - FB acknowledge support from the European Research Council Starting Grant [H2020-ERC-STG grant agreement n degrees 948336] SSTEEL.     PU  - SAGE PUBLICATIONS INC     PI  - THOUSAND OAKS     PA  - 2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
rayyan-66582784,"Gorenoi, V 2005",Coated stents to prevent restenosis in coronary heart disease,"Gorenoi, V and Dintsios, CM and Hagen, A",2005,11,2,https://pubmed.ncbi.nlm.nih.gov/21289927/ ,GMS health technology assessment,"BACKGROUND: In-stent-restenosis (ISR) is considered to be an essential limiting factor of stenting in coronary heart disease (CHD). The development of coated stents has raised expectations on substantial lowering restenosis after stenting with decreasing the rate of restenosis and a reduction in the rate of clinical events. OBJECTIVES: The present analysis addresses the questions on medical effectiveness and cost-effectiveness of the use of various coated stent types in CHD. METHODS: The literature was searched in December 2004 in the most relevant medical and economic databases. The medical evaluation was conducted on the basis of published RCT. The data from the studies regarding various angiographic, sonographic and clinical endpoints were checked for methodical quality and summarised in meta-analyses. Within the scope of economic evaluation the primary studies were analysed and modelling was performed, applying clinical effect estimates from the meta-analyses of the medical evaluation and current estimates of German costs. RESULTS: MEDICAL EVALUATION: Ten different stenttypes were used in the included 26 RCT. The results for heparin, silicon-carbide, carbon and PTFE coated stenttypes could not reveal any significant differences between the medical effectiveness of coated and uncoated stents. The application of sirolimus, paclitaxel, everolimus and 7-hexanoyltaxol eluting stents showed a significant lower restenosis at 6-9 months with decrease in the rate of restenosis for polymer-based sirolimus, paclitaxel and 7-hexanoyltaxol eluting stents. In contrast, the use of gold-coated and actinomycin-D eluting stents was associated with a significantly higher restenosis. The polymer-based sirolimus and paclitaxel eluting stents also showed a significant and considerable reduction in the rate of repeated percutaneous revascularisations at 6-12 months (3.5% vs. 19.7%; p<0.0001, RR=0.19 [95%CI: 0.11; 0.33] and 3.5% vs. 12.2%; p<0.0001, RR=0.30 [95%CI: 0.20; 0.43]) and an equivalent reduction in the rate of combined events. The 7-hexanoyltaxol-eluting stents caused, however, a significant increase of stent thrombosis as well as of myocardial infarctions. ECONOMIC EVALUATION: The allocation to polymer-based sirolimus and paclitaxel eluting stents resulted in incremental costs (compared with uncoated stents) of approximately 1,421 â‚¬ and 1,234 â‚¬ per patient, taking in account expected revascularisations during the first year after implantation. The mean incremental cost-effectiveness-ratios per avoided revascularisation was 8,881 â‚¬ and 13,711 â‚¬, respectively. The ""break-even""-prices for these stenttypes in the used model were 707 â‚¬ and 551 â‚¬, and the ""break-even""-risks for ISR after stenting with uncoated stent, was 76% and 65%, respectively. The use of the other evaluated coated stents seems not to be cost-effective. DISCUSSION: The absolute effects and cost savings for patient groups with a higher risk of restenosis could be considerably higher than for patient groups with a lower risk of restenosis. The transferability of the results from the present analysis to other (sub)-populations and technology modifications is limited. The direct comparability of the results for sirolimus and paclitaxel eluting stents is also restricted. CONCLUSIONS: From a medical point of view the use of polymer-based sirolimus or paclitaxel eluting stents can be recommended. The use of gold coated, 7-hexanoyltaxol and actinomycin-D eluting stents is in contrast not recommendable. From an economical point of view and on the basis of current stent prices the polymer-based eluting sirolimus and paclitaxel stents should primarily be recommended for patients with a higher risk of restenosis.",,21289927,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
rayyan-66583143,"Haase, J 1999",Stent coatings: How to reduce the biological response to vessel wall injury,"Haase, J",1999,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1540-8183.1999.tb00672.x,JOURNAL OF INTERVENTIONAL CARDIOLOGY,"Since a variety of technical solutions to coat metallic stents with a layer of chemically inert and potentially biocompatible material has become available, stent coatings again have attracted the attention of intervention cardiologists. Numerous stent coatings were tested in vitro and by stent implatation in animals. Some of them undergo clinical evaluation in patients with coronary artery disease to test the hypothesis whether thrombosis may be eliminated and the phenomenon of late intimal hyperplasia can be further reduced. It has been demonstrated that heparin-coated stents significantly diminish the incidence of stent thrombosis without improving the long-tem outcome. Gold-coated stents gave a higher rate of in-stent restenosis compared to uncoated stainless steel stents. Most promising are recently developed stent coatings with silicon carbide and turbostratic carbon, which is currently undergoing clinical evaluation.",,,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
