refID,doi,pubmed_id,title,authors,year,month,day,journal,FullText,SiC_Type,Category
"Ahn, S 2019",10.3390/mi10080508,,Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,"Ahn, SH and Jeong, J and Kim, SJ",2019,7,31,MICROMACHINES,Y,"a-SiC,other","NeuralInterfaces,Cardiovascular,OtherTechnologies"
"Bluet, J 2012",10.1016/B978-0-12-385906-8.00011-8,,SiC as a Biocompatible Marker for Cell Labeling,"Bluet, JM and Botsoa, J and Zakharko, Y and Geloen, A and Alekseev, S and Marty, O and Mognetti, B and Patskovsky, S and Rioux, D and Lysenko, V and Saddow, SE",2012,1,1,"SILICON CARBIDE BIOTECHNOLOGY: A BIOCOMPATIBLE SEMICONDUCTOR FOR ADVANCED BIOMEDICAL DEVICES AND APPLICATIONS, 1ST EDITION",Y,other,OtherTechnologies
"Catellani, A 2007",10.1088/0022-3727/40/20/S07,,Modifications of cubic SiC surfaces studied by ab initio simulations: from gas adsorption to organic functionalization,"Catellani, A and Cicero, G",2007,10,5,JOURNAL OF PHYSICS D-APPLIED PHYSICS,Y,3C-SiC,Biosensors
"Faisal, S 2022",10.1021/acsanm.2c03056,,Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,"Faisal, SN and Iacopi, F",2022,7,,ACS APPLIED NANO MATERIALS,Y,"3C-SiC,other",NeuralInterfaces
"Fan, J 2010",10.1002/smll.201000543,20730824,"Group IV nanoparticles: synthesis, properties, and biological applications","Fan, J and Chu, PK",2010,10,20,"Small (Weinheim an der Bergstrasse, Germany)",Y,"a-SiC,crystalline_unspecified,other","Biosensors,DrugRelease"
"Foti, G 2001",10.1016/S0169-4332(01)00751-6,,Silicon carbide: from amorphous to crystalline material,"Foti, G",2001,12,12,APPLIED SURFACE SCIENCE,Y,"a-SiC,3C-SiC,4H-SiC,6H-SiC",OtherTechnologies
"Fraga, M. 2025",10.1109/SR.2025.3564231,,The Role of Semiconductor Thin Films in Advancing MEMS Sensor Technology,Fraga M. A. and R. S. Pessoa,2025,,,IEEE Sensors Reviews,Y,"a-SiC,4H-SiC,6H-SiC",OtherTechnologies
"Frewin, C 2025",10.3390/nano15241880,41441491,Silicon Carbide Neural Interfaces: A Review of Progress Toward Monolithic Devices,"Frewin, Christopher L. and Melton, Matthew and Bernardin, Evans and Beygi, Mohammad and Feng, Chenyin and Saddow, Stephen E.",2025,12,15,Nanomaterials,Y,"a-SiC,3C-SiC,4H-SiC",NeuralInterfaces
"Gablech, I 2023",10.1002/aelm.202300258,,State-of-the-Art Electronic Materials for Thin Films in Bioelectronics,"Gablech, I and Glowacki, ED",2023,8,,ADVANCED ELECTRONIC MATERIALS,Y,"a-SiC,other","NeuralInterfaces,OtherTechnologies"
"Gavalda-Diaz, O 2025",10.1177/09506608241308337,,Toughening of ceramics and ceramic composites through microstructure engineering: A review,"Gavalda-Diaz, O and Saiz, E and Chevalier, J and Bouville, F",2025,1,2,INTERNATIONAL MATERIALS REVIEWS,Y,other,OtherTechnologies
"Gorenoi, V 2005",https://pubmed.ncbi.nlm.nih.gov/21289927/ ,21289927,Coated stents to prevent restenosis in coronary heart disease,"Gorenoi, V and Dintsios, CM and Hagen, A",2005,11,2,GMS health technology assessment,Y,other,Cardiovascular
"Haase, J 1999",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1540-8183.1999.tb00672.x,,Stent coatings: How to reduce the biological response to vessel wall injury,"Haase, J",1999,,,JOURNAL OF INTERVENTIONAL CARDIOLOGY,Y,a-SiC,Cardiovascular
"Hansi, C 2009",10.1002/ccd.21834,19235237,"Differences of platelet adhesion and thrombus activation on amorphous silicon carbide, magnesium alloy, stainless steel, and cobalt chromium stent surfaces","Hansi, C and Arab, A and Rzany, A and Ahrens, I and Bode, C and Hehrlein, C",2009,2,2,Catheterization and cardiovascular interventions : official journal of the           Society for Cardiac Angiography & Interventions,Y,a-SiC,Cardiovascular
"Itoh, A 1997",10.1080/10408439708241260,,Single crystal growth of SiC and electronic devices,"Itoh, A and Matsunami, H",1997,,,Critical Reviews in Solid State and Materials Sciences,N,"4H-SiC,6H-SiC",OtherTechnologies
"Kilic, A 2021",10.1149/1945-7111/ac0aaa,,Machine Learning Analysis of Ni/SiC Electrodeposition Using Association Rule Mining and Artificial Neural Network,"Kilic, A and Yildirim, R and Eroglu, D",2021,6,24,Journal of The Electrochemical Society,Y,other,Cardiovascular
"Kotzar, G 2002",10.1016/s0142-9612(02)00007-8,12059024,Evaluation of MEMS materials of construction for implantable medical devices,"Kotzar, G and Freas, M and Abel, P and Fleischman, A and Roy, S and Zorman, C and Moran, JM and Melzak, J",2002,7,23,Biomaterials,Y,"3C-SiC,crystalline_unspecified,other",OtherTechnologies
