,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
1,"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,38547834,Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",Biomaterials,2024,3.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
2,"Abbott, J 2025",10.1088/1741-2552/adee49,40639398,Electrochemical stability and neural recording with sputtered ruthenium oxide electrodes subchronically in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Wu, Y. and Smith, T.J. and Geramifard, N. and Chakraborty, B. and Khajehzadeh, M. and Dhananjayan, S. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",Journal of neural engineering,2025,7.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
38,"Cogan, S 2003",10.1002/jbm.a.10152,14613234,Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",Journal of biomedical materials research. Part A,2003,12.0,1.0,2000,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Benchtop']"
42,"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,32512544,Stability of flexible thin-film metallization stimulation electrodes: analysis of explants after first-in-human study and improvement of in vivo performance,"Cvancara, P and Boretius, T and  Lopez-Alvarez, VM and Maciejasz, P and Andreu, D and Raspopovic, S and Petrini, F and Micera, S and Granata, G and Fernandez, E and Rossini, PM and Yoshida, K and Jensen, W and Divoux, JL and Guiraud, D and Navarro, X and Stieglitz, T",Journal of neural engineering,2020,7.0,10.0,2020,['a-SiC'],['Neural'],"['Animal', 'Human', 'Material Properties', 'Fabrication', 'Benchtop']"
48,"Deku, F 2018a",10.1088/1741-2552/aa8f8b,28952963,Amorphous silicon carbide ultramicroelectrode arrays for neural stimulation and recording,"Deku, F and Cohen, Y and Joshi-Imre, A and Kanneganti, A and Gardner, TJ and Cogan, SF",Journal of neural engineering,2018,2.0,1.0,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
49,"Deku, F 2018b",10.3390/mi9100480,30424413,Amorphous Silicon Carbide Platform for Next Generation Penetrating Neural Interface Designs,"Deku, F and Frewin, CL and Stiller, A and Cohen, Y and Aqeel, S and Joshi-Imre, A and Black, B and Gardner, TJ and Pancrazio, JJ and Cogan, SF",Micromachines,2018,9.0,20.0,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication']"
55,"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,28573982,A silicon carbide array for electrocorticography and peripheral nerve recording,"Diaz-Botia, CA and Luna, LE and Neely, RM and Chamanzar, M and Carraro, C and Carmena, JM and Sabes, PN and Maboudian, R and Maharbiz, MM",Journal of neural engineering,2017,8.0,16.0,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
59,"Dobariya, A 2022",10.1038/s41598-022-19688-2,36109613,Recording of pig neuronal activity in the comparative context of the awake human brain,"Dobariya, A. and El Ahmadieh, T.Y. and Good, L.B. and Hernandez-Reynoso, A.G. and Jakkamsetti, V. and Brown, R. and Dunbar, M. and Ding, K. and Luna, J. and Kallem, R.R. and Putnam, W.C. and Shelton, J.M. and Evers, B.M. and Azami, A. and Geramifard, N. and Cogan, S.F. and Mickey, B. and Pascual, J.M.",Nature Scientific reports,2022,9.0,15.0,2020,['a-SiC'],['Neural'],"['Animal', 'Human']"
74,"Frewin, C 2011",10.1109/IEMBS.2011.6090582,22254961,Single-crystal cubic silicon carbide: An in vivo biocompatible semiconductor for brain machine interface devices,"Frewin, CL and Locke, C and Saddow, SE and Weeber, EJ",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2011,8.0,30.0,2010,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication']"
75,"Frewin, C 2013",10.1109/NER.2013.6696021,<NA>,Silicon carbide neural implants: In vivo neural tissue reaction,"Frewin, CL and Locke, C and Mariusso, L and Weeber, EJ and Saddow, SE",2013 6TH INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING (NER),2013,11.0,6.0,2010,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication']"
