,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
1,"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,38547834,Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",Biomaterials,2024,3.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
2,"Abbott, J 2025",10.1088/1741-2552/adee49,40639398,Electrochemical stability and neural recording with sputtered ruthenium oxide electrodes subchronically in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Wu, Y. and Smith, T.J. and Geramifard, N. and Chakraborty, B. and Khajehzadeh, M. and Dhananjayan, S. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",Journal of neural engineering,2025,7.0,21.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
15,"Bernardin, E 2018",10.3390/mi9080412,30424345,Demonstration of a Robust All-Silicon-Carbide Intracortical Neural Interface,"Bernardin, EK and Frewin, CL and Everly, R and Ul Hassan, J and Saddow, SE",Micromachines,2018,8.0,18.0,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
18,"Beygi, M 2019",10.3390/mi10070430,31261887,Fabrication of a Monolithic Implantable Neural Interface from Cubic Silicon Carbide,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Saddow, SE",Micromachines,2019,6.0,29.0,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
38,"Cogan, S 2003",10.1002/jbm.a.10152,14613234,Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",Journal of biomedical materials research. Part A,2003,12.0,1.0,2000,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Benchtop']"
39,"Cogan, S 2013",10.1109/NER.2013.6696106,<NA>,Stability of thin-film wireless recording and stimulation devices for epilepsy monitoring,"Cogan, Stuart F. and Troyk, Philip R. and DeMichele, Glenn",2013 6th International IEEE/EMBS Conference on Neural Engineering (NER),2013,11.0,,2010,['a-SiC'],['Neural'],['Benchtop']
41,"Cvancara, P 2019",10.1109/NER.2019.8716920,<NA>,3D Patterned Thin-Film Electrodes for Neural Prosthetics-Proof of Concept,"Cvancara, P. and Newman, S. and Stieglitz, T.",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3.0,,2010,['Other'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
42,"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,32512544,Stability of flexible thin-film metallization stimulation electrodes: analysis of explants after first-in-human study and improvement of in vivo performance,"Cvancara, P and Boretius, T and  Lopez-Alvarez, VM and Maciejasz, P and Andreu, D and Raspopovic, S and Petrini, F and Micera, S and Granata, G and Fernandez, E and Rossini, PM and Yoshida, K and Jensen, W and Divoux, JL and Guiraud, D and Navarro, X and Stieglitz, T",Journal of neural engineering,2020,7.0,10.0,2020,['a-SiC'],['Neural'],"['Animal', 'Human', 'Material Properties', 'Fabrication', 'Benchtop']"
48,"Deku, F 2018a",10.1088/1741-2552/aa8f8b,28952963,Amorphous silicon carbide ultramicroelectrode arrays for neural stimulation and recording,"Deku, F and Cohen, Y and Joshi-Imre, A and Kanneganti, A and Gardner, TJ and Cogan, SF",Journal of neural engineering,2018,2.0,1.0,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
54,"Diaz-Botia, C 2017a",10.1109/NER.2017.8008319,<NA>,Fabrication of all-silicon carbide neural interfaces,"Diaz-Botia, C. A. and Luna, L. E. and Chamanzar, M. and Carraro, C. and Sabes, P. N. and Maboudian, R. and Maharbiz, M. M. ",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5.0,,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Fabrication', 'Benchtop']"
