,refID,doi,pubmed_id,title,authors,journal,year,month,day,FullText,pub_decade,Reported_SiC,Reported_Category,Reported_Data
22,"Bonaventura, G 2019",10.1038/s41598-019-48041-3,31395932.0,Biocompatibility between silicon or silicon carbide surface and neural stem cells.,"Bonaventura, G and Iemmolo, R and La Cognata, V and Zimbone, M and La Via, F and Fragala, ME and Barcellona, ML and Pellitteri, R and Cavallaro, S",Scientific Reports,2019,8.0,8.0,Y,2010,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'In Vitro']"
39,"Coletti, C 2007",10.1109/IEMBS.2007.4353678,18003344.0,Biocompatibility and wettability of crystalline SiC and Si surfaces.,"Coletti, C and Jaroszeski, MJ and Pallaoro, A and Hoff, AM and Iannotta, S and Saddow, SE",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2007,8.0,23.0,Y,2000,"['Other', '3C-SiC', '4H-SiC', '6H-SiC']","['Neural', 'Biosensors']","['Material Properties', 'Fabrication', 'In Vitro']"
71,"Frewin, C 2009",10.1002/jmr.966,19585542.0,Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates.,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",Journal of Molecular Recognition : JMR,2009,9.0,,Y,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Benchtop', 'In Vitro']"
79,"Geramifard, N 2022b",10.3390/mi13101692,36296045.0,A novel 3D helical microelectrode array for in vitro extracellular action potential recording.,"Geramifard, N and Lawson, J and Cogan, SF and Black, BJ",Micromachines,2022,10.0,8.0,Y,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop', 'In Vitro']"
163,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450.0,"Integrated, transparent silicon carbide electronics and sensors for radio frequency biomedical therapy.","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS Nano,2022,7.0,26.0,Y,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
164,"Nguyen, T 2022b",10.1073/pnas.2203287119,35939711.0,"Wide bandgap semiconductor nanomembranes as a long-term biointerface for flexible, implanted neuromodulator.","Nguyen, TK and Barton, M and Ashok, A and Truong, TA and Yadav, S and Leitch, M and Nguyen, TV and Kashaninejad, N and Dinh, T and Hold, L and Yamauchi, Y and Nguyen, NT and Phan, HP",Proceedings of the National Academy of Sciences of the United States of America,2022,8.0,16.0,Y,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
178,"Saddow, S 2010",10.1557/PROC-1246-B08-08,,Single-crystal silicon carbide: a biocompatible and hemocompatible semiconductor for advanced biomedical applications.,"Saddow, SE and Coletti, C and Frewin, CL and Schettini, N and Oliveros, A and Jarosezski, M",MRS Online Proceedings Library,2010,8.0,10.0,Y,2010,"['3C-SiC', '4H-SiC', '6H-SiC']","['Neural', 'OtherTech']","['Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
179,"Saddow, S 2014a",10.1149/06107.0101ecst,,3C-SiC on Si: A biocompatible material for advanced bioelectronic devices.,"Saddow, SE and Frewin, CL and Reyes, M and Register, J and Nezafati, M and Thomas, S",Micromachines,2014,5.0,14.0,Y,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
180,"Saddow, S 2014b",10.1109/NMDC.2014.6997419,,3C-SiC on Si: A bio- and hemo-compatible material for advanced nano-bio devices.,"Saddow, SE and Frewin, CL and Nezafati, M and Oliveros, A and Afroz, S and Register, J and Reyes, M and Thomas, S",2014 IEEE 9th Nanotechnology Materials and Devices Conference (NMDC),2014,12.0,29.0,Y,2010,"['a-SiC', '3C-SiC']","['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
198,"Vomero, M 2017b",10.1002/adbi.201700081,,Incorporation of silicon carbide and diamond-like carbon as adhesion promoters improves in vitro and in vivo stability of thin-film glassy carbon electrocorticography arrays.,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Ciarpella, F and Cea, C and Fadiga, L and Ricci, D and Kassegne, S and Stieglitz, T",Advanced Biosystems,2017,11.0,,Y,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
