,ReferenceID,Title,SiC Type,Publication Category
0,"Ahn, S 2019",Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,"a-SiC,other","NeuralInterfaces,Cardiovascular,OtherTechnologies"
1,"Bluet, J 2012",SiC as a Biocompatible Marker for Cell Labeling,other,OtherTechnologies
2,"Catellani, A 2007",Modifications of cubic SiC surfaces studied by ab initio simulations: from gas adsorption to organic functionalization,3C-SiC,Biosensors
3,"Faisal, S 2022",Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,"3C-SiC,other",NeuralInterfaces
4,"Fan, J 2010","Group IV nanoparticles: synthesis, properties, and biological applications","a-SiC,crystalline_unspecified,other","Biosensors,DrugRelease"
5,"Foti, G 2001",Silicon carbide: from amorphous to crystalline material,"a-SiC,3C-SiC,4H-SiC,6H-SiC",OtherTechnologies
6,"Fraga, M. 2025",The Role of Semiconductor Thin Films in Advancing MEMS Sensor Technology,"a-SiC,4H-SiC,6H-SiC",OtherTechnologies
7,"Frewin, C 2025",Silicon Carbide Neural Interfaces: A Review of Progress Toward Monolithic Devices,"a-SiC,3C-SiC,4H-SiC",NeuralInterfaces
8,"Gablech, I 2023",State-of-the-Art Electronic Materials for Thin Films in Bioelectronics,"a-SiC,other","NeuralInterfaces,OtherTechnologies"
9,"Gavalda-Diaz, O 2025",Toughening of ceramics and ceramic composites through microstructure engineering: A review,other,OtherTechnologies
10,"Gorenoi, V 2005",Coated stents to prevent restenosis in coronary heart disease,other,Cardiovascular
11,"Haase, J 1999",Stent coatings: How to reduce the biological response to vessel wall injury,a-SiC,Cardiovascular
12,"Hansi, C 2009","Differences of platelet adhesion and thrombus activation on amorphous silicon carbide, magnesium alloy, stainless steel, and cobalt chromium stent surfaces",a-SiC,Cardiovascular
13,"Itoh, A 1997",Single crystal growth of SiC and electronic devices,"4H-SiC,6H-SiC",OtherTechnologies
14,"Kilic, A 2021",Machine Learning Analysis of Ni/SiC Electrodeposition Using Association Rule Mining and Artificial Neural Network,other,Cardiovascular
15,"Kotzar, G 2002",Evaluation of MEMS materials of construction for implantable medical devices,"3C-SiC,crystalline_unspecified,other",OtherTechnologies
16,"Leber, M 2019",Advances in Penetrating Multichannel Microelectrodes Based on the Utah Array Platform,a-SiC,NeuralInterfaces
17,"Li, C 2024",Recent advances in plasma etching for micro and nano fabrication of silicon-based materials: a review,other,OtherTechnologies
18,"Lucia, O 2019",Industrial Electronics for Biomedicine: A New Cancer Treatment Using Electroporation,other,OtherTechnologies
19,"Maher, N 2025",An updated review and recent advancements in carbon-based bioactive coatings for dental implant applications,"a-SiC,crystalline_unspecified,other",Ortho_Dental
20,"Mamun, A 2023",Silicon Carbide-Based DNA Sensing Technologies,3C-SiC,Biosensors
21,"Mantripragada, V 2013",An overview of recent advances in designing orthopedic and craniofacial implants,other,Ortho_Dental
22,"Nguyen, N 2021",Wide-Band-Gap Semiconductors for Biointegrated Electronics: Recent Advances and Future Directions,"a-SiC,3C-SiC,4H-SiC,other",OtherTechnologies
23,"Ohno, T 1999",Recent progress in SiC-based device processing,other,OtherTechnologies
24,"Oliveros, A 2013",Silicon carbide: a versatile material for biosensor applications,"a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other","NeuralInterfaces,Biosensors,OtherTechnologies"
25,"Ordonez, J 2012",Thin films and microelectrode arrays for neuroprosthetics,a-SiC,"NeuralInterfaces,OtherTechnologies"
26,"Paione, C 2023",Non-Oxide Ceramics for Bone Implant Application: State-of-the-Art Overview with an Emphasis on the Acetabular Cup of Hip Joint Prosthesis,other,Ortho_Dental
27,"Pancrazio, J 2017",Thinking Small: Progress on Microscale Neurostimulation Technology,a-SiC,NeuralInterfaces
28,"Saddow, S 2012","Silicon Carbide Biotechnology: A Biocompatible Semiconductor for Advanced Biomedical Devices and Applications, 1st Edition","a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other","NeuralInterfaces,Biosensors,Cardiovascular,OtherTechnologies"
29,"Saddow, S 2022",Silicon Carbide Technology for Advanced Human Healthcare Applications,"a-SiC,3C-SiC,4H-SiC,6H-SiC","NeuralInterfaces,OtherTechnologies"
30,"Shen, K 2021",Ceramic packaging in neural implants,other,"NeuralInterfaces,Cardiovascular,OtherTechnologies"
31,"Talwar, J 2023",Global Trends in Silicon Carbide Biosensor Research: A Bibliometric Study,other,"Biosensors,Cardiovascular,Ortho_Dental,OtherTechnologies"
32,"Wellman, S 2018",A Materials Roadmap to Functional Neural Interface Design,"a-SiC,crystalline_unspecified",NeuralInterfaces
33,"Yakimova, R 2007",Surface functionalization and biomedical applications based on SiC,"a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other",OtherTechnologies
