refID,doi,year,title,medical_application,all_materials,assessments,SiC_type,SiC_use,SiC_ref_count
"Ahn, S 2019",10.3390/mi10080508,2019,Emerging Encapsulation Technologies for Long-Term Reliability of Microfabricated Implantable Devices,All Biomedical Devices,"Organic: PI, Parylene, LCP, SU?8, COC;  Inorganic: Al2O3, HfO2, SiO2, SiC, Diamond",Thermal Aging Stability,a?SiC,Encapsulation,12
"Faisal, S 2022",10.1021/acsanm.2c03056,2022,Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,Neural Interfaces (Electrodes),"Graphene, MXenes, Transitional Metal Dichalcogenides (TMDs)","Invasive and Non-Invasive Device Designs & Fabrication Methods, Impedance, SNR, Aging Stability ",3C?SiC,Substrate (for graphene electrodes),13
"Frewin, C 2025",10.3390/nano15241880,2025,Silicon Carbide Neural Interfaces: A Review of Progress Toward Monolithic Devices,Neural Interfaces (only those with SiC),"Silicon Carbide: amorphous, monolithic hexagonal, cubic","Device Designs & Fabrication Methods, In Vivo Performance, Electrochemical Properties, Leakage Current, MRI Compatibility ",a?SiC;  3C?SiC;  4H?SiC,"Encapsulation;  Electrodes, Traces, Bond Pads;  Electrodes, Traces, Bond Pads",39
"Gablech, I 2023",10.1002/aelm.202300258,2023,State-of-the-Art Electronic Materials for Thin Films in Bioelectronics,Neural Interfaces (electronic materials),"Metals (Au, HfO, IrOx, Pt, PtIr alloy, Ti, TiN, W, Liquid Metal Eutectics), Organic (graphene, CNT, glassy carbon, DLC), Conducting Polymers (PEDOT, Polyaniline, PPy)",Materials and Fabrication Methods for Thin-Film Bioelectronics,a?SiC,"Passivation, Encapsulation",6
"Leber, M 2019",10.1007/978-981-13-2050-7_1,2019,Advances in Penetrating Multichannel Microelectrodes Based on the Utah Array Platform,Neural Interfaces (only UTAH style penetrating arrays),"Silicon, Parylene-C, PTFE, Polyimide, ALD-Al2O3, Polyethylene Glycol (PEG), Gold, Platinum, Iridium Oxide, Glass, SiN, SiO2, SiC, DLC, UNCD","Application Areas, Challenges, Array Types and Spatial Arrangements, Electrode Materials Engineering, Optrode Integration, Encapsulation Methods, Wireless Integration",a?SiC,Encapsulation,3
"Oliveros, A 2013",10.1007/s10544-013-9742-3,2013,Silicon carbide: a versatile material for biosensor applications,Biosensors,Silicon Carbide,"Sensor Types, Components, and Properties ",a?SiC;  3C?SiC;  4H?SiC;  6H-SiC,"Encapsulation, Dielectric Isolation, Etch Mask, Cell Culture Membrane, Anti-fouling Coating, Photosensor, Mechanical Abrasion Passivation Layer;  Resonator, Substrate for Fluorescent-Labeled Proteins, MEMS resonator/cantilever/bridge, Hemocompatible Components, Microfluidic Chamber, Cell Tagging Quantum Dots, Optical Superlens;  Power Electronics, Biomolecule Detection, Myocardial Probe;  Solid-State Lighting (LEDs), Nanoparticles, Protein Filter, Biomolecule Detection, Myocardial Probe, Electrode Arrays",45
"Ordonez, J 2012",10.1557/mrs.2012.117,2012,Thin films and microelectrode arrays for neuroprosthetics,Neural Interfaces (prosthetics),"Silicone, Silicon, Polyimide, Parylene","Performance Requirement, Fabrication Methods, Materials Selection, Device Types",a?SiC,Thin-Film Interlayer Adhesion,5
"Pancrazio, J 2017",10.1111/ner.12716,2017,Thinking Small: Progress on Microscale Neurostimulation Technology,Neural Interfaces (ultra-small devices),"Silicon, SIROF, EIROF, TiN, Pt, Pt/Ir, PEDOT-PSS, Carbon Fibers, SU-8, Parylene-C, Polyimide",Implant Size vs. Tissue Response,a?SiC,Encapsulation,8
"Saddow, S 2012",9780123859075 (eBook),2012,"Silicon Carbide Biotechnology: A Biocompatible Semiconductor for Advanced Biomedical Devices and Applications, 1st Edition",All Biomedical Devices,"Silicon Carbide: amorphous, polycrystalline, single-crystalline","Material Growth and Processing, Films and Coatings, Surface Properties, Cell Proliferation, In Vitro Biocompatibility, Hemocompatibility, Biocompatibility in Neuro Applications, Brain-Machine Interface, Microdialysis Membranes, Nanostructured Hydroxyapatite Coatings on SiC, SiC BioMEMS, Cell Labeling, Graphene and Pyrolyzed Photoresist Films on SiC",a?SiC;  3C?SiC;  4H?SiC;  6H-SiC,"Insulation, Stent Coating;  Electrodes, Traces;  Electrodes, Biosensors;  Electrodes, Biosensors",n
"Saddow, S 2022",10.3390/mi13030346,2022,Silicon Carbide Technology for Advanced Human Healthcare Applications,"Biomedical Devices (biosensors, neural interfaces)",Silicon Carbide,Role and Advantages of Silicon Carbide in Medical Device Development; In Vitro and In Vivo Performance,a?SiC;  3C?SiC;  4H?SiC;  6H-SiC,Insulation;  Electrodes;  Surface Functionalization;  Surface Functionalization,28
