refID,doi,year,title
"Bluet, J 2012",10.1016/B978-0-12-385906-8.00011-8,2012,SiC as a Biocompatible Marker for Cell Labeling
"Catellani, A 2007",10.1088/0022-3727/40/20/S07,2007,Modifications of cubic SiC surfaces studied by ab initio simulations: from gas adsorption to organic functionalization
"Fan, J 2010",10.1002/smll.201000543,2010,"Group IV nanoparticles: synthesis, properties, and biological applications."
"Foti, G 2001",10.1016/S0169-4332(01)00751-6,2001,Silicon carbide: from amorphous to crystalline material
"Fraga, M. 2025",10.1109/SR.2025.3564231,2025,The Role of Semiconductor Thin Films in Advancing MEMS Sensor Technology
"Gavalda-Diaz, O 2025",10.1177/09506608241308337,2025,Toughening of ceramics and ceramic composites through microstructure engineering: A review
"Gorenoi, V 2005",https://pubmed.ncbi.nlm.nih.gov/21289927/ ,2005,Coated stents to prevent restenosis in coronary heart disease.
"Haase, J 1999",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1540-8183.1999.tb00672.x,1999,Stent coatings: How to reduce the biological response to vessel wall injury
"Hansi, C 2009",10.1002/ccd.21834,2009,"Differences of platelet adhesion and thrombus activation on amorphous silicon carbide, magnesium alloy, stainless steel, and cobalt chromium stent surfaces."
"Itoh, A 1997",10.1080/10408439708241260,1997,Single crystal growth of SiC and electronic devices
"Kilic, A 2021",10.1149/1945-7111/ac0aaa,2021,Machine Learning Analysis of Ni/SiC Electrodeposition Using Association Rule Mining and Artificial Neural Network
"Kotzar, G 2002",10.1016/s0142-9612(02)00007-8,2002,Evaluation of MEMS materials of construction for implantable medical devices
"Li, C 2024",10.1039/d4tc00612g,2024,Recent advances in plasma etching for micro and nano fabrication of silicon-based materials: a review
"Lucia, O 2019",10.1109/MIE.2019.2942377,2019,Industrial Electronics for Biomedicine: A New Cancer Treatment Using Electroporation
"Maher, N 2025",10.1016/j.jare.2024.07.016,2025,An updated review and recent advancements in carbon-based bioactive coatings for dental implant applications
"Mamun, A 2023",10.3390/mi14081557,2023,Silicon Carbide-Based DNA Sensing Technologies.
"Mantripragada, V 2013",10.1002/jbm.a.34605,2013,An overview of recent advances in designing orthopedic and craniofacial implants.
"Nguyen, N 2021",10.1021/acsaelm.0c01122,2021,Wide-Band-Gap Semiconductors for Biointegrated Electronics: Recent Advances and Future Directions
"Ohno, T 1999",10.1002/(SICI)1520-6432(199902)82:2<48::AID-ECJB6>3.0.CO;2-1,1999,Recent progress in SiC-based device processing
"Paione, C 2023",10.3390/ceramics6020059,2023,Non-Oxide Ceramics for Bone Implant Application: State-of-the-Art Overview with an Emphasis on the Acetabular Cup of Hip Joint Prosthesis
"Talwar, J 2023",10.5530/jscires.12.2.033,2023,Global Trends in Silicon Carbide Biosensor Research: A Bibliometric Study
"Yakimova, R 2007",10.1088/0022-3727/40/20/s20,2007,Surface functionalization and biomedical applications based on SiC
