refID,doi,year,SiC_type,SiC_Film_Thickness,Aging_Electrolyte,Aging_Temperature,Aging_Duration,Outcome_Metric,Aging_Electrolyte,Aging_Parameters
"Babaroud, N 2020",10.1109/EMBC44109.2020.9175646,2020,a?SiC,250nm ,PBS,Room,"12 days,  60 days",Adhesion (Tape Test),,
"Cogan, S 2003",10.1002/jbm.a.10152,2003,a?SiC,1.2µm ,PBS,37°C,280 days,"Dissolution & Film Thickness (XPS);  Leakage Current (DC 5V vs. Pt, 1V increments)",,
"Cogan, S 2003",10.1002/jbm.a.10152,2003,a?SiC,1.2µm ,PBS,90°C,28 days,Dissolution & Film Thickness (XPS),,
"Cogan, S 2013",10.1109/NER.2013.6696106,2013,a?SiC,1.2 µm,PBS,37°C,29 days,"Recording (5mV, 42Hz source);  Stimulation (VT, 1.6mA, 206µs, 50Hz, 12µC/cm2)",,
"Cogan, S 2013",10.1109/NER.2013.6696106,2013,a?SiC,1.2 µm,PBS,87°C,20 days,"Electrochemical Properties (CV, EIS, VT [at 37°C])",,
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,a?SiC,100nm – 150nm ,PBS,96°C,24 hr,Leakage Current (DC 3.24V vs. Pt);  Pinhole Appearance & Degradation (XeF2 etching and SEM);  Film Thickness (ellipsometry),,
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,a?SiC,150nm – 1.0µm,PBS,96°C,1600 hr (66.7 days),Leakage Current (DC 3.24V vs. Pt);  Pinhole Appearance & Degradation (XeF2 etching and SEM);  Film Thickness (ellipsometry),,
"Duran-Martinez, A 2021",10.1557/s43580-021-00159-1,2021,a?SiC,2 µm,PBS,37°C,<1 day,"Impedance (EIS);  Leakage Current (DC 5V for 150s, chronoamperometry)",,
"Fathi, F 2023",10.1021/acs.analchem.2c03609,2023,4H?SiC,350nm ,0.1M PB,Room,180 days,Electrochemical Properties (Cyclic Voltammetry),,
"Gavalas, M 2025",10.3390/coatings15010106,2025,3C?SiC,1.5µm ,PBS,90°C,77 days,Electrical Resistivity (4 point probe);  Etch Rate (mechanical profilometry),,
"Hsu, J 2007",10.1016/j.tsf.2007.04.050,2007,a?SiC,408nm,PBS,90°C,3 weeks (21 days),Dissolution & Film Thickness (ellipsometry);  Defect Density (SEM),,
"Hsu, J 2007",10.1016/j.tsf.2007.04.050,2007,a?SiC,639nm ,PBS,90°C,6 weeks (42 days),,,
"Hsu, J 2007",10.1016/j.tsf.2007.04.050,2007,a?SiC,650nm,Ringer’s Solution,37°C,185 days (6 months),Electrode Impedance (EIS),,
"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,2018,a?SiC,500nm ,10-20mM H2O2,87°C,"3 days,  7 days",Degradation (optical imaging);  Impedance (EIS),,
"Lei, X 2016",10.1088/1741-2560/13/4/046016,2016,a?SiC,694nm ,LPS*,87°C,112 days,"Dissolution & Film Thickness (FTIR, surface profilometry);  Defect Analysis (buffered oxide etch & optical microscopy & SEM)",,
"Lin, C 2020",10.3390/mi11121064,2020,a?SiC,Not Reported,NaCl,"70°C,  90°C",45 days,Surface Degradation (SEM);  Direct Current Resistance  (not reported),,
"Mittnacht, A 2019",10.1109/NER.2019.8717179,2019,a?SiC,50nm ,10mM PBS,60°C,33 days,Electrode Impedance (EIS);  Optical Transmittance (UV-Vis spectrophotometer),,
"Mittnacht, A 2019",10.1109/NER.2019.8717179,2019,a?SiC,50nm ,H2O2,60°C,21 days,Appearance & Defects (optical imaging),,
"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,2021,a?SiC,Not reported ,PBS,87°C,255 days,Electrode Impedance (EIS);  Electrode Charge Storage Capacity (CV),,
"Nguyen, C 2024b",10.1109/EMBC53108.2024.10782884,2024,a?SiC,500nm,"Air,  PBS",37°C,1 day,"Leakage Current (DC +/?5V, 1V step, vs. chassis ground)",,
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,3C?SiC,600nm ,1x PBS,96°C,"6 days,  14 days",Resistance (not reported);  Film Thickness (not reported),,
"Nguyen, T 2022b",10.1073/pnas.2203287119,2022,3C?SiC,90nm ,1x PBS,96°C,14 days,"Resistance (not reported);  Film Thickness (depth profile scan, step height)",,
"Vomero, M 2017a",10.1109/NER.2017.8008347,2017,a?SiC,50-100nm**,"PBS,  30mM H2O2",39°C,7 days,"Electrochemical Properties (CV, EIS)",,
"Vomero, M 2017b",10.1002/adbi.201700081,2017,a?SiC,Not reported,"Dry,  0.01M PBS,  30mM H2O2,  150mM H2O2",39°C,7 days,"Electrochemical Properties (CV, EIS)",,
"Wu, K 2024",10.1002/adma.202310201,2024,a?SiC,130nm (20-150µm widths),1x PBS,57°C,100 days,Degradation (SEM and EDX);  Mg Disc Substrate Corrosion (optical imaging);  Impedance (EIS);  Water Vapor Transmission Rate (permeation cell),,
