refID,doi,year,pub_decade,Reported_SiC,Reported_Category,Reported_Data
"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,2024,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Abbott, J 2025",10.1088/1741-2552/adee49,2025,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
"Bernardin, E 2018",10.3390/mi9080412,2018,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Beygi, M 2019",10.3390/mi10070430,2019,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Benchtop', 'In Vitro']"
"Cogan, S 2013",10.1109/NER.2013.6696106,2013,2010,['a-SiC'],['Neural'],['Benchtop']
"Cvancara, P 2019",10.1109/NER.2019.8716920,2019,2010,['Other'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,2020,2020,['a-SiC'],['Neural'],"['Animal', 'Human', 'Material Properties', 'Fabrication', 'Benchtop']"
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Diaz-Botia, C 2017a",10.1109/NER.2017.8008319,2017,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Fabrication', 'Benchtop']"
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
"Duran-Martinez, A 2021",10.1557/s43580-021-00159-1,2021,2020,['a-SiC'],['Neural'],"['Material Properties', 'Benchtop']"
"Faisal, S 2021",10.1088/1741-2552/ac4085,2021,2020,['3C-SiC'],['Neural'],"['Human', 'Material Properties', 'Benchtop']"
"Fathi, F 2023",10.1021/acs.analchem.2c03609,2023,2020,['4H-SiC'],"['Neural', 'Biosensors']","['Material Properties', 'Benchtop']"
"Feng, C 2021b",10.3390/mi12070821,2021,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Frewin, C 2009",10.1002/jmr.966,2009,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Benchtop', 'In Vitro']"
"Frewin, C 2016",10.1149/07512.0039ecst,2016,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Gavalas, M 2025",10.3390/coatings15010106,2025,2020,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Gazziro, M 2015",10.1109/EMBC.2015.7319537,2015,2010,"['a-SiC', '3C-SiC']",['Neural'],['Benchtop']
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Geramifard, N 2022b",10.3390/mi13101692,2022,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop', 'In Vitro']"
"Geramifard, N 2024",10.1021/acsami.4c11773,2024,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
"Ghazavi, A 2020",10.1016/j.bios.2020.112608,2020,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Haghighi, P 2025",10.3390/mi16020113,2025,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Hsu, J 2007",10.1016/j.tsf.2007.04.050,2007,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Hsu, J 2008",10.18494/SAM.2008.515,2008,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Jeakle, E 2023",10.3390/mi14030680,2023,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Joshi-Imre, A 2019",10.1088/1741-2552/ab1bc8,2019,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,2025,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,2018,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Lin, C 2020",10.3390/mi11121064,2020,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop', 'In Vitro']"
"Mittnacht, A 2019",10.1109/NER.2019.8717179,2019,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Montero Arevalo, B 2023",10.3390/mi14061262,2023,2020,"['a-SiC', '4H-SiC']","['Neural', 'Biosensors']","['Fabrication', 'Benchtop']"
"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,2021,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Nguyen, C 2022",10.1109/IEDM45625.2022.10019503,2022,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop']"
"Nguyen, C 2024a",10.1109/EMBC53108.2024.10781825,2024,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
"Nguyen, C 2024b",10.1109/EMBC53108.2024.10782884,2024,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop']"
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
"Nguyen, T 2022b",10.1073/pnas.2203287119,2022,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
"Panday, R 2006",10.4028/www.scientific.net/MSF.527-529.1107,2006,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
"Pham, T 2020",10.1002/adfm.202004655,2020,2020,['Other'],"['Neural', 'Biosensors', 'Cardio']","['Material Properties', 'Fabrication', 'Benchtop']"
"Phan, H 2019",10.1021/acsnano.9b05168,2019,2010,['3C-SiC'],"['Neural', 'Biosensors', 'Cardio']","['Fabrication', 'Benchtop']"
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,"['a-SiC', '3C-SiC']","['Neural', 'Biosensors']","['Animal', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
"Usoro, J 2019",10.1088/2057-1976/ab4c02,2019,2010,['a-SiC'],['Neural'],"['Animal', 'Benchtop']"
"Vomero, M 2017a",10.1109/NER.2017.8008347,2017,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
"Vomero, M 2017b",10.1002/adbi.201700081,2017,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
"Wu, K 2024",10.1002/adma.202310201,2024,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
