refID,doi,year,pub_decade,SiC_Type,Substrate,SiC_Thickness_um,Shank_Tip_Angle_degrees,Shank_Width_um,Shank_Thickness_um,Shank_Xsection_Area_um^2,Moment_Inertia_um^4,Shank_Length_mm,SubjectCount,Species,Tissue_or_Material,Insertions_Successful_count,Insertions_Attempts_count,Insertion_Success_percent,Insertion_Speed_um/s,Insertion_Force_mN,Buckling_Force_mN
"Deku, F 2018b",10.3390/mi9100480,2018,2010,a-SiC,Polyimide,1,,7,6,42,126,2,1,Rat,Cortex,,,,50,0.35,
"Deku, F 2018b",10.3390/mi9100480,2018,2010,a-SiC,Polyimide,1,,7,6,42,126,2,<NA>,Glass,Glass,,,,50,,0.69
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,0.5,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,0.71
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,1,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,5,,,5,,0.15
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,1.5,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,4,,,5,,0.09
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,4,,,5,,0.04
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,0.5,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,2,,,5,,0.5
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,1,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,0.13
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,0.03
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,0.5,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,1.26
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,1,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,0.37
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,1.5,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,3,,,5,,0.21
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,2,<NA>,Silicone Coated Silicon,Silicone Coated Silicon,2,,,5,,0.12
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Agarose Gel,Agarose Gel,3,,,25,0.015,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Agarose Gel,Agarose Gel,0,,,50,,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Agarose Gel,Agarose Gel,2,,,100,0.038,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Agarose Gel,Agarose Gel,3,,,500,0.054,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,8,7,6,42,126,2,<NA>,Agarose Gel,Agarose Gel,0,,,1000,,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,11,10,6,60,180,2,<NA>,Agarose Gel,Agarose Gel,1,,,25,0.02,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,11,10,6,60,180,2,<NA>,Agarose Gel,Agarose Gel,3,,,50,0.035,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,11,10,6,60,180,2,<NA>,Agarose Gel,Agarose Gel,2,,,100,0.04,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,11,10,6,60,180,2,<NA>,Agarose Gel,Agarose Gel,1,,,500,0.055,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,11,10,6,60,180,2,<NA>,Agarose Gel,Agarose Gel,0,,,1000,,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Agarose Gel,Agarose Gel,3,,,25,0.276,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Agarose Gel,Agarose Gel,1,,,50,0.43,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Agarose Gel,Agarose Gel,7,,,100,0.236,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Agarose Gel,Agarose Gel,5,,,500,0.296,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,4,22,20,4,80,107,2,<NA>,Agarose Gel,Agarose Gel,6,,,1000,0.708,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,2,<NA>,Agarose Gel,Agarose Gel,8,,,25,0.112,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,2,<NA>,Agarose Gel,Agarose Gel,3,,,50,0.122,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,a-SiC,Polyimide,6,22,20,6,120,360,2,<NA>,Agarose Gel,Agarose Gel,9,,,100,0.119,
