refID,doi,year,pub_decade,Material,Temperature_degC,Duration_days,Dissolution_nm/day
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,a-SiC,90,28,2.4
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,Si3N4,90,28,48
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,SiO2,90,28,24
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,a-SiC,37,280,0
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,Si3N4,37,280,0.4
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,SiO2,37,154,0
"Gavalas, M 2025",10.3390/coatings15010106,2025,2020,3C-SiC,90,77,0
"Gavalas, M 2025",10.3390/coatings15010106,2025,2020,Si,90,77,104
"Gavalas, M 2025",10.3390/coatings15010106,2025,2020,SiO2,90,77,26
"Lei, X 2016",10.1088/1741-2560/13/4/046016,2016,2010,a-SiC,87,112,0
"Lei, X 2016",10.1088/1741-2560/13/4/046016,2016,2010,Si3N4,87,28,18.3
"Lei, X 2016",10.1088/1741-2560/13/4/046016,2016,2010,SiO2,87,32,0.104
