refID,doi,year,pub_decade,Device_ID,Device_Substrate,Number_Shanks,Number_Channels,SiC_film_thickness_nm,ElectrodeSite_Material,Electrode_Diameter_um,Electrode_Length_um,Electrode_Width_um,Electrode_Area_um2,Device_ShankDiameter_um,Device_Shank_Pitch_um,Device_ShankLength_mm,Device_ShankWidth_um,Device_ShankThickness_um,Device_Xsection_Area_um2
"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,2024,2020,Intracortical,,,,,,,,,,,,,,,
"Abbott, J 2025",10.1088/1741-2552/adee49,2025,2020,,,,,,,,,,,,,,,,
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,,,,,,,,,,,,,,,,
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,2020,2020,,,,,,,,,,,,,,,,
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,2020,2020,,,,,,,,,,,,,,,,
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010,,,,,,,,,,,,,,,,
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010,,,,,,,,,,,,,,,,
"Deku, F 2018b",10.3390/mi9100480,2018,2010,,,,,,,,,,,,,,,,
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,2010,,,,,,,,,,,,,,,,
"Dobariya, A 2022",10.1038/s41598-022-19688-2,2022,2020,,,,,,,,,,,,,,,,
"Dobariya, A 2022",10.1038/s41598-022-19688-2,2022,2020,,,,,,,,,,,,,,,,
"Faisal, S 2021",10.1088/1741-2552/ac4085,2021,2020,,,,,,,,,,,,,,,,
"Frewin, C 2011",10.1109/IEMBS.2011.6090582,2011,2010,,,,,,,,,,,,,,,,
"Frewin, C 2013",10.1109/NER.2013.6696021,2013,2010,,,,,,,,,,,,,,,,
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,,,,,,,,,,,,,,,,
"Geramifard, N 2024",10.1021/acsami.4c11773,2024,2020,,,,,,,,,,,,,,,,
"Ghazavi, A 2020",10.1016/j.bios.2020.112608,2020,2020,,,,,,,,,,,,,,,,
"Gonzalez-Gonzalez, M 2023",10.1109/NER52421.2023.10123843,2023,2020,,,,,,,,,,,,,,,,
"Haghighi, P 2025",10.3390/mi16020113,2025,2020,,,,,,,,,,,,,,,,
"Jeakle, E 2023",10.3390/mi14030680,2023,2020,,,,,,,,,,,,,,,,
"Jeakle, E 2024",10.1109/EMBC53108.2024.10781643,2024,2020,,,,,,,,,,,,,,,,
"Joshi-Imre, A 2019",10.1088/1741-2552/ab1bc8,2019,2010,,,,,,,,,,,,,,,,
"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,2025,2020,,,,,,,,,,,,,,,,
"Knaack, G 2016",10.3389/fnins.2016.00301,2016,2010,,,,,,,,,,,,,,,,
"Lei, X 2016",10.1088/1741-2560/13/4/046016,2016,2010,,,,,,,,,,,,,,,,
"Lin, C 2020",10.3390/mi11121064,2020,2020,,,,,,,,,,,,,,,,
"Nguyen, C 2024a",10.1109/EMBC53108.2024.10781825,2024,2020,,,,,,,,,,,,,,,,
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,,,,,,,,,,,,,,,,
"Nguyen, T 2022b",10.1073/pnas.2203287119,2022,2020,,,,,,,,,,,,,,,,
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,,,,,,,,,,,,,,,,
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,,,,,,,,,,,,,,,,
"Usoro, J 2019",10.1088/2057-1976/ab4c02,2019,2010,,,,,,,,,,,,,,,,
"Vomero, M 2017a",10.1109/NER.2017.8008347,2017,2010,,,,,,,,,,,,,,,,
"Vomero, M 2017b",10.1002/adbi.201700081,2017,2010,,,,,,,,,,,,,,,,
