refID,doi,year,pub_decade
"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,2024,2020
"Abbott, J 2025",10.1088/1741-2552/adee49,2025,2020
"Babaroud, N 2020",10.1109/EMBC44109.2020.9175646,2020,2020
"Bernardin, E 2018",10.3390/mi9080412,2018,2010
"Beygi, M 2019",10.3390/mi10070430,2019,2010
"Beygi, M 2021",10.3390/mi12020126,2021,2020
"Bonaventura, G 2019",10.1038/s41598-019-48041-3,2019,2010
"Cvancara, P 2019",10.1109/NER.2019.8716920,2019,2010
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,2020,2020
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010
"Deku, F 2018b",10.3390/mi9100480,2018,2010
"Deku, F 2018c",10.1002/jbm.b.34258,2018,2010
"Diaz-Botia, C 2017a",10.1109/NER.2017.8008319,2017,2010
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,2010
"Feng, C 2021a",10.1007/978-3-030-65261-6_70,2021,2020
"Feng, C 2021b",10.3390/mi12070821,2021,2020
"Frewin, C 2011",10.1109/IEMBS.2011.6090582,2011,2010
"Frewin, C 2013",10.1109/NER.2013.6696021,2013,2010
"Frewin, C 2016",10.1149/07512.0039ecst,2016,2010
"Gavalas, M 2025",10.3390/coatings15010106,2025,2020
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020
"Geramifard, N 2022b",10.3390/mi13101692,2022,2020
"Geramifard, N 2024",10.1021/acsami.4c11773,2024,2020
"Ghazavi, A 2020",10.1016/j.bios.2020.112608,2020,2020
"Gonzalez-Gonzalez, M 2023",10.1109/NER52421.2023.10123843,2023,2020
"Haghighi, P 2025",10.3390/mi16020113,2025,2020
"Hsu, J 2007",10.1016/j.tsf.2007.04.050,2007,2000
"Hsu, J 2008",10.18494/SAM.2008.515,2008,2000
"Jeakle, E 2023",10.3390/mi14030680,2023,2020
"Joshi-Imre, A 2019",10.1088/1741-2552/ab1bc8,2019,2010
"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,2025,2020
"Klein, E 2018",10.3389/fnins.2018.00659,2018,2010
"Knaack, G 2016",10.3389/fnins.2016.00301,2016,2010
"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,2018,2010
"Kuliasha, C 2021",10.1002/admt.202100149,2021,2020
"Mittnacht, A 2019",10.1109/NER.2019.8717179,2019,2010
"Montero Arevalo, B 2023",10.3390/mi14061262,2023,2020
"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,2021,2020
"Nguyen, C 2022",10.1109/IEDM45625.2022.10019503,2022,2020
"Nguyen, C 2024b",10.1109/EMBC53108.2024.10782884,2024,2020
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020
"Nguyen, T 2022b",10.1073/pnas.2203287119,2022,2020
"Panday, R 2006",10.4028/www.scientific.net/MSF.527-529.1107,2006,2000
"Pham, T 2020",10.1002/adfm.202004655,2020,2020
"Phan, H 2019",10.1021/acsnano.9b05168,2019,2010
"Reyes, M 2013",10.1149/05804.0119ecst,2013,2010
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010
"Vomero, M 2017a",10.1109/NER.2017.8008347,2017,2010
"Vomero, M 2017b",10.1002/adbi.201700081,2017,2010
"Wu, K 2024",10.1002/adma.202310201,2024,2020
