refID,doi,year,pub_decade,SiC_type,Sample_substrate,Sample_count,Control_material,Sterilization_method,Cell_species,Cell_origin,Cell_type,Culture_medium,Culture_duration_(days),Treatment,Assay,Readout,Readout_standard_used,Histology_antibodies,MainResult
"Bonaventura, G 2019",10.1038/s41598-019-48041-3,2019,2010,3C-SiC,,,Silicon,Not Reported,Human,Dental Pulp,Neuronal Stem Cells,"DMEM, FBS, Retinoic Acid",2,None,"Morphology, Viability, Mitochondrial Membrane Potential",Cell Morphology,NotReported,"NF-H, MAP2, S100B, Nestin, GFAP, FITC-conjugated secondary ntibodies, DAPI",No change
"Bonaventura, G 2019",10.1038/s41598-019-48041-3,2019,2010,3C-SiC,,,Silicon,Not Reported,Mouse,Olfactory Bulb,Olfactory Ensheathing,"DMEM, 10% FBS ",2,None,"Morphology, Viability, Mitochondrial Membrane Potential",Cell Morphology,NotReported,"NF-H, MAP2, S100B, Nestin, GFAP, FITC-conjugated secondary ntibodies, DAPI",No change
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,3C-SiC,Silicon,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)",Untreated samples had significantly lower contact angle and higher cell proliferation than piranha treated samples
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,3C-SiC,Silicon,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,Piranha,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)",Untreated samples had significantly lower contact angle and higher cell proliferation than piranha treated samples
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,4H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)",Untreated samples had significantly lower contact angle and higher cell proliferation than piranha treated samples
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,4H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,Piranha,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)",Untreated samples had significantly lower contact angle and higher cell proliferation than piranha treated samples
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,3C-SiC,Silicon,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Mouse,,Melanoma (B16-F10),"McCoy's Modified Medium, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,3C-SiC,Silicon,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Fibroblasts (BJ),"EMEM, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,3C-SiC,Silicon,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Human,,Keratinocytes (HaCaT),"DMEM, 10% FBS ",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
"Coletti, C 2007",10.1109/IEMBS.2007.4353678,2007,2000,4H-SiC,,3,Silicon,"1:1:6 NH4OH:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 30sec, 1:1:6 HCl:H2O2:H2O at 65degC for 10min, 50:1 H2O:HF for 2min, Ethanol dip",Mouse,,Melanoma (B16-F10),"McCoy's Modified Medium, 10% FBS",3,None,MTT,"Cell Proliferation, Contact Angle",NotReported,"CMFDA (5-chloromethylfluorescein
diacetate)","Higher cell proliferation compared to Silicon, similar proliferation among different types of SiC."
