refID,doi,year,pub_decade,SubjectCount,SubjectCount_Inferred,Species,Strain,Sex,Sex_Inferred,Age,Implant_Region,Implant_Location,Device_Category,Devices_per_subject,Devices_total,Devices_per_subject_average,Devices_per_subject_inferred,Implant_Duration_days,Implant_Duration_weeks,Implant_Duration_months
"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,2024,2020,7,No,Rat,Sprague-Dawley,Female,No,Adult,Brain,Motor Cortex,Intracortical,1,7,1,No,112,16,4
"Abbott, J 2025",10.1088/1741-2552/adee49,2025,2020,7,No,Rat,Sprague-Dawley,Female,No,Adult,Brain,Motor Cortex,Intracortical,1,7,1,No,42,6,1
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,1,No,Rabbit,"New Zealand, White",Not Reported,No,Not Reported,Skin,Subcutaneous,Material Sample,4,4,4,No,60,8.6,2
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,1,No,Rabbit,"New Zealand, White",Not Reported,No,Not Reported,Skin,Subcutaneous,Material Sample,4,4,4,No,90,12.9,3
"Cogan, S 2003",10.1002/jbm.a.10152,2003,2000,2,No,Rabbit,"New Zealand, White",Not Reported,No,Not Reported,Brain,Parietal Cortex,Intracortical,4,8,4,No,120,21.4,5
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,2020,2020,4,No,Rat,Sprague-Dawley,Not Reported,No,Not Reported,Skin,Subcutaneous,Intraneural,1,4,1,No,30,4.3,1
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010,1,Yes,Rat,Long Evans,Male,No,Not Reported,Brain,Motor Cortex,Intracortical,1,1,1,No,1,0,0
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,2018,2010,1,Yes,Zebra Finch,Australian,Male,Yes,Not Reported,Brain,Basal Ganglia (Area X),Intracortical,1,1,1,No,1,0,0
"Deku, F 2018b",10.3390/mi9100480,2018,2010,3,Yes,Rat,Long Evans,Not Reported,No,Not Reported,Brain,Motor Cortex,Intracortical,1,3,1,No,1,0,0
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,2010,1,No,Rat,Long Evans,Male,No,Adult,Brain,Primary Visual Cortex,ECoG,1,1,1,No,1,0,0
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,2017,2010,1,No,Rat,Long Evans,Male,Yes,Adult,Nerve,Sciatic Nerve,Intracortical,1,1,1,No,1,0,0
"Dobariya, A 2022",10.1038/s41598-022-19688-2,2022,2020,2,No,Pig,Yorkshire Cross,Not Reported,Yes,4-5 Months,Brain,Somatosensory Cortex,Intracortical,1,1,1,No,1,0,0
"Frewin, C 2011",10.1109/IEMBS.2011.6090582,2011,2010,3,No,Mouse,C57BL/6J,Not Reported,No,Not Reported,Brain,Hippocampus,Material Sample,1,3,1,No,35,5,1
"Frewin, C 2013",10.1109/NER.2013.6696021,2013,2010,3,No,Mouse,C57BL/6J,Not Reported,No,Not Reported,Brain,Hippocampus,Material Sample,1,3,1,No,35,5,1
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,2022,2020,5,No,Rat,Sprague-Dawley,Female,No,Adult,Brain,Cortex,Intracortical,Not Reported,23,5,Yes,1,0,0
"Geramifard, N 2024",10.1021/acsami.4c11773,2024,2020,1,No,Rat,Sprague-Dawley,Female,No,Adult,Brain,Motor Cortex,Intracortical,1,1,1,No,1,0,0
"Ghazavi, A 2020",10.1016/j.bios.2020.112608,2020,2020,8,No,Rat,Sprague-Dawley,Male,No,Adult,Nerve,Cervical Vagus Nerve (Left),Intraneural,1,8,1,No,1,0,0
